      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.000     0.000    23.667    13.331     9.438    21.522    15.532    19.364     7.772     3.847     3.602     3.615
     9.75    49.75    1981     9.331    16.258    22.264    15.984     6.845     1.573     2.786     5.461    11.761     8.786     8.409     5.746
     9.75    49.75    1982     5.191    16.756    27.417    41.329    12.995     3.986    15.422    14.596    12.887     5.841     3.224     3.938
     9.75    49.75    1983     0.599    16.604    17.745    10.307     5.641    11.301    14.262     6.791     2.474     1.088     5.457     5.792
     9.75    49.75    1984     9.408    14.044    23.240    29.066    18.411    22.855     5.660     3.440     2.316     1.112     3.528     3.019
     9.75    49.75    1985     0.000     0.000    27.396    17.251     9.999    16.030     8.597    10.769     7.555     5.046     5.528     2.691
     9.75    49.75    1986     0.000     0.000     0.000    19.682    14.830     3.660     6.418     2.133     7.608     9.521     4.870     7.594
     9.75    49.75    1987     0.480     0.000    21.531    19.971    22.184    26.139    16.027     7.513    11.193     5.007     3.920     4.541
     9.75    49.75    1988     8.872    12.606    22.284    10.130     4.862     4.139     6.496     1.640     1.641     0.331     1.056     3.063
     9.75    49.75    1989     2.361     0.000    21.398    37.650    35.344    14.380     9.642     5.735     7.292     3.779     4.825     5.782
     9.75    49.75    1990     7.940     3.656    14.523    38.877    21.716    10.362     9.007     5.113     1.986     1.438     2.255     4.998
     9.75    49.75    1991     5.327    16.563    25.603    16.558    11.106    21.134     7.770     3.088     1.209     1.583     2.231     6.679
     9.75    49.75    1992     9.742    12.883    27.625    33.213    11.472    14.047     9.128     6.366     2.600     0.946     2.810     1.895
     9.75    49.75    1993     0.000     0.000    10.889    26.373     6.777     7.724     4.647     4.530    13.166     9.704     8.314     1.648
     9.75    49.75    1994     0.063    17.395    31.719    22.651     8.134     4.690     2.061     4.338     3.588     1.123     4.586     7.291
     9.75    49.75    1995     1.698     0.000    10.135    35.969    20.762     5.929    13.158    22.700     4.178     2.898     6.598     7.211
     9.75    49.75    1996     2.465    18.486    24.282    22.689     5.360     6.443     8.247    12.990     6.817     5.549     5.272     4.685
     9.75    49.75    1997     1.201     0.000    21.850    22.493    19.882    27.899    11.644     6.079     5.841     3.436     4.584     3.064
     9.75    49.75    1998     9.081    13.371    26.289    12.395     4.655    11.596     3.131     1.790     9.713     4.229     3.149     4.199
     9.75    49.75    1999     6.799    16.517    22.998    17.304     2.850    16.765     1.777     1.022     0.731     0.778     3.964     5.339
     9.75    49.75    2000     8.575    17.379    18.758    10.706     4.127    12.375    12.848     5.991     6.626     3.433     8.831     2.332
     9.75    49.75    2001     0.000     0.000     0.000    27.934    11.056    10.137     7.011    11.580     2.494     1.394     3.768     7.079
     9.75    49.75    2002     9.485    11.048    24.775    16.569    17.882     1.771     0.530     3.235     8.423     4.305     2.421     2.337
     9.75    49.75    2003     1.677     0.000    23.460    16.108    11.480     9.811    16.822    16.767     6.851     2.728     5.216     8.548
     9.75    49.75    2004     9.516    14.111    25.558    13.086    15.615    11.663     2.709     5.941     8.102     5.507     6.042     7.542
     9.75    49.75    2005     2.405     4.904    28.005    11.816    12.144     8.074     5.785     4.922     3.712     1.598     8.946     8.245
     9.75    49.75    2006     6.075     3.584    29.343    20.130    11.248    18.438    26.042     7.851     0.973     0.862     4.878     6.023
     9.75    49.75    2007     4.084    17.189    15.489     7.018     3.989     5.575     4.575     1.912     0.646     0.368     5.227     6.033
     9.75    49.75    2008     8.329    13.308    24.610    10.869     5.069     2.632     4.316    16.228     8.963     2.220     4.335     5.815
     9.75    49.75    2009     7.868    18.442    26.250    23.319    13.398    12.750     4.116     3.263     1.373     1.700     8.193     7.860
     9.75    49.75    2010     1.505    15.766    22.718    22.870    15.445    12.985     5.972     2.050     3.848     2.041     3.441     3.485
     9.75    49.75    2011     4.578    14.313    27.837    13.021    19.770    34.260    23.374    13.110     7.003     4.824     4.728     7.152
     9.75    49.75    2012     1.695     0.000    27.654    20.092     7.574     6.065     5.725    15.752    12.893     4.271     3.032     4.620
     9.75    49.75    2013     6.780    11.944    18.460     3.540    10.036     8.233     3.175     2.621     6.413     5.039     7.641     8.012
     9.75    49.75    2014     9.174    16.116    12.366    16.644    13.122     3.344    13.329    18.589     5.019     2.727     5.993     0.663
     9.75    49.75    2015     0.000     4.422    33.816    22.782     8.458     6.900     3.639     1.969     2.942     1.446     4.086     7.189
     9.75    49.75    2016    11.506    16.535    13.621     7.068     2.707     1.724     3.649     4.583     3.136     3.563     5.145     7.899
     9.75    49.75    2017     8.970     4.367    27.228     2.885     3.425     4.772     7.895    13.217     5.772     3.899     7.562     7.444
     9.75    49.75    2018     9.197    16.614    15.146    12.894     8.918     2.318     2.271     0.765     1.076     6.219     6.547     6.309
     9.75    49.75    2019     0.000     0.000    30.976     9.283     1.117     1.437     2.129     3.790     7.093     2.520     4.507     2.357
     9.75    49.75    2020     6.456    11.187    24.401    14.086     8.829    21.918    16.900     7.713     0.743     2.053    10.212     8.897
     9.75    49.75    2021     2.349    11.509    24.939    35.257    12.694     1.656     0.866     0.529     0.535     0.813     0.800     0.762
     9.75    49.75    2022     0.000     5.183    29.960    30.133    18.397    11.635     3.212     9.270     3.419     0.506     0.411     2.812
     9.75    49.75    2023     6.508     9.706    27.891    32.462     9.546    12.175     8.271    12.023     2.463     0.961     2.950     8.089
     9.75    49.75    2024     2.781    13.815    31.621    29.122    12.860    10.243    18.562    20.099     7.190     1.372     2.818     6.105
     9.75    49.75    2025     0.769     0.113    28.225    38.739    11.509     3.488     1.164     2.977     4.604     2.482     4.850     9.113
     9.75    49.75    2026     1.711    15.049    28.819    12.677     1.228     1.923     1.837     0.628     0.476     0.690     1.251     4.419
     9.75    49.75    2027     7.879    18.464    24.715    20.656     3.718     2.450     0.789     0.971     0.829     0.315     3.362     1.050
     9.75    49.75    2028     0.000     8.773    29.363    34.644    12.503     2.665     3.611     5.311     3.331     0.731     1.702     4.813
     9.75    49.75    2029    12.206    14.889    31.604    17.785    11.203     8.851     1.115     4.265     3.386     3.330     5.492     7.033
     9.75    49.75    2030     1.945    10.909    23.812    22.271    15.387     7.167    12.439     5.282     3.651     6.000     7.547     7.858
     9.75    49.75    2031    10.447    18.581    15.850     8.732     2.265    20.734    14.785     0.737     1.200     3.989     5.457     1.495
     9.75    49.75    2032     0.024    14.720    27.566    28.907    11.989    21.266     7.671    20.582    12.068     2.926     3.517     8.501
     9.75    49.75    2033     9.007     2.262    28.498    20.425    14.113    14.311     6.374    22.562     8.677     0.355     1.907     3.479
     9.75    49.75    2034     0.701     0.000    25.510    14.049     3.790     1.808     1.516     0.597     0.361     0.296     0.979     1.486
     9.75    49.75    2035     0.000    12.111    16.996    16.716    18.434    19.803    10.554    11.475     1.471     1.668     5.661     4.903
     9.75    49.75    2036     0.000     0.000    27.085    21.713     4.156     3.217    10.119    20.036    17.340    11.276    10.635     8.427
     9.75    49.75    2037    11.366    16.218    19.758    26.175    11.245     8.310     1.403     3.233     1.726     4.047     7.584     6.645
     9.75    49.75    2038    10.221    16.920    25.094    14.662    25.922    12.213     2.979     2.141     0.945     3.635     4.441     6.323
     9.75    49.75    2039     9.775    17.236    24.676     6.485     7.790     7.908     6.836     8.059     6.191     4.913     4.331     2.780
     9.75    49.75    2040     6.044    12.456    24.039    11.128    10.516    15.960     4.395     4.250     1.663     2.525     6.129     4.958
     9.75    49.75    2041    10.642    16.774    18.956    22.629     9.667     3.746     1.421     7.926     7.673     2.545     5.311     7.623
