      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.304     0.832    15.269    37.569    54.688    70.238    77.310    63.490    48.105    24.440     4.865     0.599
     9.75    49.75    1981     0.782     1.637    11.816    31.834    66.741    62.263    75.478    58.244    38.134    21.530     6.541     0.717
     9.75    49.75    1982     0.339     1.582     3.209    11.614    64.813    75.590    74.286    70.901    28.975    22.454     6.162     0.354
     9.75    49.75    1983     0.396     2.230    14.652    45.652    52.576    55.250    76.392    80.084    52.466    19.024     1.299     0.242
     9.75    49.75    1984     0.930     1.745     5.161    24.768    60.611    65.693    79.513    57.024    35.807    22.848     3.939     0.182
     9.75    49.75    1985     0.737     1.071     5.757    29.573    64.130    79.000    68.962    57.053    46.025    13.799     2.444     0.173
     9.75    49.75    1986     0.186     0.308     4.003    13.293    63.529    71.722    69.549    54.938    31.899    12.838     4.172     0.589
     9.75    49.75    1987     0.149     1.045     6.493    31.354    59.075    49.628    82.232    63.376    43.261    25.589     4.275     0.828
     9.75    49.75    1988     0.935     1.610    10.533    40.648    57.966    69.626    78.045    49.839    42.787    16.652     4.884     0.367
     9.75    49.75    1989     0.136     1.187     3.911    12.378    59.915    77.035    86.967    77.197    43.706    23.075     3.502     0.355
     9.75    49.75    1990     0.376     0.571     4.702    11.724    63.515    64.984    82.821    63.088    46.465    21.950     7.752     0.401
     9.75    49.75    1991     0.475     2.427    11.630    41.967    59.825    77.468    78.246    64.786    46.224    19.968     1.430     0.526
     9.75    49.75    1992     0.717     0.937     6.350    13.478    67.054    69.072    82.442    77.445    43.869    17.828     5.198     0.335
     9.75    49.75    1993     0.306     0.565     4.270    32.187    58.835    74.609    75.278    59.374    28.731    19.315     5.731     0.134
     9.75    49.75    1994     0.549     2.273     5.712    22.704    61.644    75.945    76.660    63.862    47.263    19.332     4.214     0.558
     9.75    49.75    1995     0.218     1.285     7.484    19.633    59.831    78.466    78.460    68.120    52.928    17.511     7.496     0.399
     9.75    49.75    1996     0.458     2.516     4.458    18.224    55.175    70.863    82.721    56.547    48.694    16.414     9.391     0.904
     9.75    49.75    1997     0.139     0.466     8.855    39.057    56.471    71.064    76.779    65.309    42.416    18.545     4.479     0.331
     9.75    49.75    1998     0.823     1.456     5.629    41.078    59.000    76.672    79.046    56.808    38.588    23.996     5.460     0.392
     9.75    49.75    1999     0.488     2.355    10.432    48.831    55.170    82.402    73.293    54.918    40.940    20.046     4.923     0.476
     9.75    49.75    2000     0.475     2.954    18.845    54.840    78.514    79.840    88.638    68.339    47.983    18.415     3.172     0.289
     9.75    49.75    2001     0.305     1.654     3.436    45.076    46.066    80.924    73.653    78.567    48.690    19.536     4.674     0.458
     9.75    49.75    2002     0.384     1.245    20.948    28.923    55.902    60.091    61.525    68.670    39.366    29.064     6.044     0.331
     9.75    49.75    2003     0.139     0.389    10.655    37.654    55.593    75.420    69.783    67.942    43.234    20.701     3.409     0.828
     9.75    49.75    2004     0.642     1.634    16.376    33.832    48.640    73.228    66.054    69.655    45.830    26.629     3.690     0.696
     9.75    49.75    2005     0.380     1.381    12.973    35.223    60.887    73.427    80.805    71.274    56.303    17.412     4.069     0.449
     9.75    49.75    2006     0.204     1.329    14.904    51.892    58.196    62.360    78.526    63.087    42.700    12.059     2.622     0.321
     9.75    49.75    2007     0.372     1.304     4.762    32.752    62.404    79.147    67.309    70.329    42.985    18.975     5.179     0.527
     9.75    49.75    2008     0.715     3.449     6.234    24.773    71.294    67.136    73.634    58.061    58.450    19.041     2.505     0.455
     9.75    49.75    2009     0.617     1.999     6.445    34.666    62.995    74.070    76.324    71.573    46.566    20.562     5.991     0.392
     9.75    49.75    2010     0.154     1.706    28.828    44.898    52.958    57.959    45.862    54.025    38.774    24.024     2.113     0.365
     9.75    49.75    2011     0.227     0.964    22.745    48.097    71.290    86.062    73.834    54.426    36.799    21.044     2.867     0.581
     9.75    49.75    2012     0.307     2.836     6.774    28.729    48.399    82.859    84.128    71.400    45.676    23.189     5.347     0.342
     9.75    49.75    2013     0.287     1.303     9.731    37.963    53.121    73.057    65.701    61.345    46.067    19.995     5.185     0.379
     9.75    49.75    2014     0.277     0.915     6.513    38.401    57.342    74.301    75.843    76.618    44.381    25.698     6.342     0.550
     9.75    49.75    2015     0.286     1.602     5.893    47.957    59.498    73.516    71.688    68.018    58.627    25.782     3.046     0.357
     9.75    49.75    2016     0.840     1.654     8.776    20.773    57.946    77.795    85.264    68.611    34.104    26.665     8.927     0.614
     9.75    49.75    2017     0.850     2.718    11.623    26.193    62.742    76.175    71.449    44.713    22.041    11.261     3.256     0.141
     9.75    49.75    2018     0.315     1.961     8.880    47.107    56.346    83.161    71.075    63.732    40.744    12.181     3.180     0.237
     9.75    49.75    2019     0.243     1.374     8.654    50.156    78.875    81.420    76.742    61.747    37.360    17.691     3.279     0.459
     9.75    49.75    2020     0.856     1.415     6.122    34.963    63.558    68.324    72.919    70.734    45.183    23.344     3.307     0.229
     9.75    49.75    2021     0.221     0.490     4.099    49.442    57.383    67.611    85.681    68.294    44.534    24.236     6.746     0.183
     9.75    49.75    2022     0.168     3.017    23.699    42.059    69.243    69.566    77.259    52.945    35.813    17.738     3.968     0.526
     9.75    49.75    2023     0.435     3.959     7.062    15.347    44.291    72.015    53.985    66.086    29.952    16.874     2.017     0.253
     9.75    49.75    2024     0.350     1.722     3.529    14.839    67.134    77.718    77.778    71.361    40.438    13.277     4.383     0.576
     9.75    49.75    2025     1.059     2.131     4.682    42.161    74.517    48.360    53.256    58.608    25.131    17.046     3.734     0.217
     9.75    49.75    2026     0.203     1.658    11.612    25.991    75.088    78.232    95.230    74.162    46.564    16.733     5.603     0.547
     9.75    49.75    2027     0.264     0.949    14.274    30.778    59.858    82.302    89.447    63.511    51.091    24.885     3.255     0.222
     9.75    49.75    2028     0.136     3.165    10.714    23.327    66.049    73.758    78.240    64.963    42.330    25.830     7.643     0.242
     9.75    49.75    2029     0.274     1.464    24.761    28.579    76.051    77.689    63.673    55.460    41.338    25.061     1.935     0.325
     9.75    49.75    2030     0.166     0.747    19.573    24.167    53.463    65.315    80.518    71.339    50.910    22.309     3.638     0.490
     9.75    49.75    2031     0.896     3.480    17.947    45.758    59.742    75.901    62.484    51.345    38.801    18.468     3.011     0.652
     9.75    49.75    2032     0.852     2.567    21.215    52.883    67.765    74.332    71.557    47.706    38.207    21.078     1.814     0.284
     9.75    49.75    2033     0.424     1.607     9.432    47.923    63.509    66.627    70.797    64.972    34.832    18.942     4.122     0.334
     9.75    49.75    2034     0.424     0.722    13.646    51.887    64.404    80.409    86.510    60.319    45.801    20.005     2.608     0.359
