      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.304     0.832    15.269    37.569    54.688    70.238    77.310    63.490    48.105    24.440     4.865     0.599
     9.75    49.75    1981     0.782     1.637    11.816    31.834    66.741    62.263    75.478    58.244    38.134    21.530     6.541     0.717
     9.75    49.75    1982     0.339     1.582     3.209    11.614    64.813    75.590    74.286    70.901    28.975    22.454     6.162     0.354
     9.75    49.75    1983     0.396     2.230    14.652    45.652    52.576    55.250    76.392    80.084    52.466    19.024     1.299     0.242
     9.75    49.75    1984     0.930     1.745     5.161    24.768    60.611    65.693    79.513    57.024    35.807    22.848     3.939     0.182
     9.75    49.75    1985     0.737     1.071     5.757    29.573    64.130    79.000    68.962    57.053    46.025    13.799     2.444     0.173
     9.75    49.75    1986     0.186     0.308     4.003    13.293    63.529    71.722    69.549    54.938    31.899    12.838     4.172     0.589
     9.75    49.75    1987     0.149     1.045     6.493    31.354    59.075    49.628    82.232    63.376    43.261    25.589     4.275     0.828
     9.75    49.75    1988     0.935     1.610    10.533    40.648    57.966    69.626    78.045    49.839    42.787    16.652     4.884     0.367
     9.75    49.75    1989     0.136     1.187     3.911    12.378    59.915    77.035    86.967    77.197    43.706    23.075     3.502     0.355
     9.75    49.75    1990     0.376     0.571     4.702    11.724    63.515    64.984    82.821    63.088    46.465    21.950     7.752     0.401
     9.75    49.75    1991     0.475     2.427    11.630    41.967    59.825    77.468    78.246    64.786    46.224    19.968     1.430     0.526
     9.75    49.75    1992     0.717     0.937     6.350    13.478    67.054    69.072    82.442    77.445    43.869    17.828     5.198     0.335
     9.75    49.75    1993     0.306     0.565     4.270    32.187    58.835    74.609    75.278    59.374    28.731    19.315     5.731     0.134
     9.75    49.75    1994     0.549     2.273     5.712    22.704    61.644    75.945    76.660    63.862    47.263    19.332     4.214     0.558
     9.75    49.75    1995     0.218     1.285     7.484    19.633    59.831    78.466    78.460    68.120    52.928    17.511     7.496     0.399
     9.75    49.75    1996     0.458     2.516     4.458    18.224    55.175    70.863    82.721    56.547    48.694    16.414     9.391     0.904
     9.75    49.75    1997     0.139     0.466     8.855    39.057    56.471    71.064    76.779    65.309    42.416    18.545     4.479     0.331
     9.75    49.75    1998     0.823     1.456     5.629    41.078    59.000    76.672    79.046    56.808    38.588    23.996     5.460     0.392
     9.75    49.75    1999     0.488     2.355    10.432    48.831    55.170    82.402    73.293    54.918    40.940    20.046     4.923     0.476
     9.75    49.75    2000     0.475     2.954    18.844    54.838    78.510    79.836    88.638    68.341    47.983    18.415     3.172     0.289
     9.75    49.75    2001     0.305     1.654     3.436    45.067    46.045    80.907    73.647    78.561    48.693    19.536     4.674     0.458
     9.75    49.75    2002     0.384     1.245    20.944    28.912    55.873    60.092    61.525    68.659    39.367    29.063     6.044     0.331
     9.75    49.75    2003     0.139     0.389    10.652    37.635    55.542    75.376    69.756    67.922    43.228    20.699     3.409     0.828
     9.75    49.75    2004     0.642     1.632    16.363    33.814    48.630    73.211    66.049    69.658    45.840    26.635     3.690     0.696
     9.75    49.75    2005     0.380     1.381    12.968    35.224    60.887    73.461    80.842    71.343    56.367    17.426     4.070     0.449
     9.75    49.75    2006     0.175     1.518     5.641    35.064    66.883    75.326    87.557    69.796    44.935    13.539     4.877     0.352
     9.75    49.75    2007     0.194     1.663    10.945    32.044    57.283    69.604    77.469    70.058    40.998    19.780     3.032     0.572
     9.75    49.75    2008     0.648     3.345    28.750    46.775    60.560    84.591    72.016    53.838    50.974    14.850     3.590     0.853
     9.75    49.75    2009     0.231     0.671     3.543    30.728    51.304    80.832    87.239    61.181    52.767    24.038     5.766     0.422
     9.75    49.75    2010     0.775     4.061    22.360    54.002    61.855    67.258    78.362    66.759    39.579    16.073     1.149     0.411
     9.75    49.75    2011     0.936     2.647    21.715    56.939    62.808    83.673    68.889    50.933    30.850    10.499     1.861     0.420
     9.75    49.75    2012     0.360     2.439    18.011    52.874    56.029    76.150    57.089    59.094    46.353    15.648     2.755     0.223
     9.75    49.75    2013     0.108     1.853     4.520    24.684    60.582    69.049    84.012    65.263    35.507    16.216     5.789     0.364
     9.75    49.75    2014     0.432     0.782     7.095    32.081    60.941    69.788    72.448    54.705    39.131    22.404     7.484     0.568
     9.75    49.75    2015     0.784     1.292     7.827    53.005    62.273    58.253    63.179    60.918    36.896    19.704     4.400     0.175
     9.75    49.75    2016     0.236     0.387     8.565    52.350    52.408    75.261    69.979    64.144    47.858    17.343     3.492     0.301
     9.75    49.75    2017     0.667     3.684    27.405    50.742    54.298    79.135    83.209    81.842    48.909    18.031     1.084     0.255
     9.75    49.75    2018     0.140     1.398    11.405    41.115    63.610    66.079    81.708    68.893    36.411    18.294     5.358     0.486
     9.75    49.75    2019     0.609     3.251    15.292    42.502    70.709    82.729    91.045    74.368    52.927    21.373     3.160     0.271
     9.75    49.75    2020     0.362     1.772     8.925    29.756    67.145    62.843    78.886    68.126    44.444    24.200     3.472     0.477
     9.75    49.75    2021     0.536     2.897     7.925    39.745    64.274    69.929    63.511    46.462    45.029    18.832     3.792     0.416
     9.75    49.75    2022     0.397     1.362    21.817    40.608    68.041    87.909    84.051    66.759    39.462    16.396     1.094     0.235
     9.75    49.75    2023     0.232     3.609    28.319    56.924    51.218    84.370    78.715    69.201    51.277    13.484     1.956     0.364
     9.75    49.75    2024     0.148     1.553    18.245    46.653    67.232    72.422    71.559    37.825    29.363    19.366     2.060     0.317
     9.75    49.75    2025     0.150     2.740    12.840    15.328    62.891    84.129    87.352    71.918    36.995    17.240     5.303     0.137
     9.75    49.75    2026     0.445     0.873     8.847    40.593    64.397    77.868    94.331    75.497    36.494    36.357     4.902     0.530
     9.75    49.75    2027     0.454     0.553     3.534    32.950    74.288    85.096    96.286    71.661    36.959    22.831     3.406     0.505
     9.75    49.75    2028     0.375     3.071    20.272    22.654    68.499    83.845    94.152    66.049    46.448    15.740     7.428     0.539
     9.75    49.75    2029     0.369     1.842     3.333    23.763    82.556    91.915    84.438    72.066    43.777    27.930    10.427     0.377
     9.75    49.75    2030     0.587     1.875     4.593    29.126    74.352    61.098    72.950    52.140    39.674    23.329     4.856     0.169
     9.75    49.75    2031     0.198     1.802     7.198    27.621    59.026    94.483    82.230    73.185    38.306    33.170     5.895     0.253
     9.75    49.75    2032     0.092     0.208     5.856    26.804    68.746    76.422    62.881    70.849    53.016    22.943     4.291     0.728
     9.75    49.75    2033     0.368     1.123    23.224    39.077    56.196    85.410    80.749    64.421    39.930    15.848     4.353     0.400
     9.75    49.75    2034     0.152     3.037    23.338    58.886    66.238    76.671    84.949    51.342    43.726    21.745     3.104     0.719
