  Lon    Lat    Year          Jan          Feb          Mar           Apr           May           Jun           Jul           Aug          Sep          Oct          Nov          Dec
 9.75  49.75    1980   0.300931     0.824551    15.2692       37.5682       54.6852       70.2313       77.3092       63.4904      48.1008      24.4356       4.86305      0.595844
 9.75  49.75    1981   0.781833     1.63474     11.8163       31.8301       66.7401       62.2623       75.4765       58.2406      38.1321      21.53         6.53896      0.710757
 9.75  49.75    1982   0.332328     1.58002      3.20668      11.614        64.8098       75.5843       74.2841       70.8967      28.9709      22.4467       6.15682      0.349819
 9.75  49.75    1983   0.390355     2.23306     14.6498       45.6486       52.5717       55.2467       76.3891       80.0802      52.4626      19.0241       1.29162      0.235361
 9.75  49.75    1984   0.927164     1.74126      5.16159      24.7677       60.6105       65.693        79.51         57.0206      35.8089      22.8456       3.9348       0.18091
 9.75  49.75    1985   0.735104     1.06367      5.75831      29.5712       64.1267       79.0014       68.9605       57.0485      46.0219      13.7943       2.43921      0.167069
 9.75  49.75    1986   0.186557     0.301784     4.00001      13.2895       63.5228       71.7203       69.5475       54.9356      31.8903      12.8395       4.16462      0.587107
 9.75  49.75    1987   0.145999     1.03822      6.48885      31.3519       59.0755       49.6235       82.2299       63.3744      43.259       25.5877       4.27182      0.827328
 9.75  49.75    1988   0.932757     1.60967     10.5268       40.6416       57.9642       69.621        78.0425       49.8359      42.7842      16.6457       4.88232      0.362443
 9.75  49.75    1989   0.131372     1.18761      3.90964      12.3753       59.911        77.0314       86.9632       77.1944      43.6997      23.0742       3.49976      0.352078
 9.75  49.75    1990   0.373092     0.570001     4.69992      11.7213       63.5137       64.9802       82.8212       63.0888      46.4655      21.9502       7.74684      0.399001
 9.75  49.75    1991   0.473265     2.42806     11.6259       41.9611       59.8217       77.4663       78.2431       64.7859      46.2205      19.9646       1.43008      0.524707
 9.75  49.75    1992   0.714992     0.92949      6.34811      13.4776       67.0509       69.0682       82.4386       77.4438      43.8699      17.8237       5.19391      0.331961
 9.75  49.75    1993   0.304231     0.562827     4.2643       32.1826       58.8332       74.6076       75.2718       59.3757      28.7295      19.3085       5.72968      0.131833
 9.75  49.75    1994   0.548757     2.27054      5.70908      22.7004       61.642        75.9399       76.6548       63.8622      47.2585      19.3273       4.20881      0.553791
 9.75  49.75    1995   0.214954     1.27972      7.47839      19.6308       59.8321       78.4631       78.4581       68.1154      52.9236      17.5062       7.49339      0.394915
 9.75  49.75    1996   0.456677     2.51669      4.4526       18.2224       55.1736       70.8644       82.7181       56.5436      48.6957      16.4106       9.3867       0.903427
 9.75  49.75    1997   0.138021     0.463357     8.85307      39.0551       56.4704       71.0612       76.7792       65.3087      42.4169      18.5441       4.47583      0.330265
 9.75  49.75    1998   0.822402     1.45389      5.62954      41.0761       58.9976       76.6694       79.0436       56.8045      38.5844      23.9916       5.45821      0.386725
 9.75  49.75    1999   0.486164     2.35303     10.4282       48.8303       55.1651       82.4          73.2893       54.9171      40.9399      20.0446       4.91998      0.471579
 9.75  49.75    2000   0.473192     2.95504     18.8456       54.8372       78.5113       79.8391       88.6318       68.3376      47.9807      18.4159       3.16749      0.28971
 9.75  49.75    2001   0.302135     1.64975      3.43379      45.0708       46.0636       80.9194       73.6537       78.5646      48.6917      19.5333       4.6711       0.4556
 9.75  49.75    2002   0.381082     1.24328     20.95         28.9194       55.9          60.0872       61.521        68.671       39.3658      29.0623       6.04015      0.328683
 9.75  49.75    2003   0.137219     0.387999    10.6558       37.6501       55.588        75.4185       69.7831       67.9425      43.2288      20.7012       3.40682      0.828047
 9.75  49.75    2004   0.63924      1.631       16.3711       33.8327       48.6339       73.2258       66.0485       69.6536      45.8278      26.6271       3.68503      0.690943
 9.75  49.75    2005   0.378213     1.37744     12.9666       35.2205       60.883        73.4247       80.8022       71.2721      56.3024      17.4118       4.06696      0.448253
 9.75  49.75    2006   0.199465     1.32667     14.8995       51.8932       58.1972       62.3582       78.5241       63.0818      42.6993      12.056        2.61623      0.315432
 9.75  49.75    2007   0.368682     1.30421      4.7606       32.7481       62.3994       79.1467       67.3074       70.326       42.9791      18.9733       5.17998      0.525371
 9.75  49.75    2008   0.71428      3.44778      6.23164      24.7709       71.2907       67.1332       73.6304       58.0582      58.4474      19.0383       2.50456      0.453293
 9.75  49.75    2009   0.618705     1.99714      6.44182      34.6612       62.9942       74.0672       76.3191       71.5742      46.5621      20.5583       5.99143      0.39124
 9.75  49.75    2010   0.153689     1.70414     28.8257       44.8953       52.9549       57.9588       45.8581       54.0262      38.7703      24.0207       2.11096      0.366141
 9.75  49.75    2011   0.226013     0.967337    23.0443       49.0042       72.7085       87.6615       75.4206       55.8298      37.8301      21.521        2.87489      0.578594
 9.75  49.75    2012   0.302858     2.83421      6.77136      28.7172       48.4572       82.9107       84.217        71.5196      45.7134      23.2206       5.34747      0.33902
 9.75  49.75    2013   0.284777     1.30184      9.6598       37.7578       52.9956       72.7989       65.4489       61.1456      46.2604      20.0067       5.18022      0.370662
 9.75  49.75    2014   0.275736     0.913093     6.40973      37.803        56.4807       72.9797       74.4262       75.6376      43.5392      25.2683       6.17016      0.537911
 9.75  49.75    2015   0.280256     1.59565      5.84018      47.621        59.4053       73.1966       71.3614       67.4921      58.1758      25.8062       3.0331       0.34806
 9.75  49.75    2016   0.831729     1.63182      8.67891      20.6531       57.882        77.4457       84.755        68.2289      34.0557      26.6605       8.89136      0.592155
 9.75  49.75    2017   0.836249     2.68504     11.4543       26.0819       62.8995       76.293        71.5422       44.9088      21.964       11.2464       3.21843      0.135608
 9.75  49.75    2018   0.307378     1.90303      8.64275      46.7034       56.5123       82.644        70.6065       63.0577      39.9863      12.0827       3.13706      0.226013
 9.75  49.75    2019   0.230533     1.30636      8.43029      50.4235       79.0956       81.7851       75.8139       60.9964      36.2977      17.6019       3.26363      0.429425
 9.75  49.75    2020   0.809127     1.32444      5.7769       35.2987       64.9652       68.0571       73.1288       71.9038      43.7562      23.3517       3.24103      0.207932
 9.75  49.75    2021   0.203412     0.461067     3.90099      50.9931       59.4596       70.4845       85.9483       68.2922      44.4749      24.4365       7.01997      0.17177
 9.75  49.75    2022   0.153689     2.84777     25.092        45.0625       72.2971       73.4181       76.5462       53.6781      35.5835      17.9907       4.17672      0.488189
 9.75  49.75    2023   0.379702     3.80154      6.95669      15.5723       47.621        74.4216       55.1201       66.9632      28.6494      16.9736       2.02508      0.216973
 9.75  49.75    2024   0.302858     1.50977      3.11446      14.2027       70.5839       80.4065       79.9635       72.2474      39.7467      13.6331       4.4163       0.497229
 9.75  49.75    2025   0.922134     1.86687      4.24453      43.6612       76.1303       49.0087       52.0147       58.3566      24.2196      16.9103       3.85579      0.180811
 9.75  49.75    2026   0.16725      1.42388     10.8758       26.0096       77.3869       82.3637       98.5418       74.1866      44.1539      16.5984       5.81758      0.461067
 9.75  49.75    2027   0.216973     0.795567    13.6241       32.3244       63.9798       88.1813       94.7673       66.5971      50.2337      23.7992       3.4354       0.180811
 9.75  49.75    2028   0.108486     2.76188     10.4056       24.3371       70.4709       79.0594       79.7917       64.5629      44.4975      26.8956       8.30825      0.203412
 9.75  49.75    2029   0.212452     1.16171     25.3948       31.1491       79.864        80.3884       60.5309       57.4028      41.6949      26.6198       2.0748       0.253135
 9.75  49.75    2030   0.126567     0.587634    20.1333       26.6018       57.8865       70.9184       85.0895       72.1344      50.4597      23.4692       3.80154      0.397783
 9.75  49.75    2031   0.696121     3.09638     17.1906       48.9771       64.8251       76.962        59.9703       49.9444      38.6483      19.3422       3.24103      0.51983
 9.75  49.75    2032   0.637357     1.96179     21.2995       57.0457       72.3966       80.8223       68.2243       46.9068      38.1691      22.1222       1.52785      0.207932
 9.75  49.75    2033   0.307378     1.21595      8.21784      48.846        67.3655       71.7547       70.5478       63.6363      35.2807      18.5512       4.40726      0.248615
 9.75  49.75    2034   0.307378     0.51983     12.7878       55.6083       71.1128       89.1758       91.1421       61.5163      48.5296      21.4532       2.63983      0.257655
 9.75  49.75    2035   0.203412     1.51429      5.27063      11.4001       77.2197       68.6945       73.0294       63.1888      61.0869      24.9338       4.88189      0.546952
 9.75  49.75    2036   0.266696     1.17527      4.20385      34.6207       77.5949       69.481        69.3951       66.0863      45.9168      16.4809       4.16316      0.298337
 9.75  49.75    2037   0.379702     0.890492    19.9253       54.5732       63.7719       77.292        75.3166       69.707       49.6822      27.5103       1.95727      0.375182
 9.75  49.75    2038   0.664479     1.53689      6.94313      31.1808       63.8578       79.0459       90.2109       77.6581      49.9896      23.5009       3.33143      0.103966
 9.75  49.75    2039   0.366141     2.90653     27.4606       41.6181       66.3665       94.9798       84.6374       59.333       43.0691      22.4974       4.3937       0.461067
 9.75  49.75    2040   0.461067     0.759404     7.01545      40.2032       75.7415       89.3069       64.4228       31.9447      32.8126      21.0237       3.08734      0.185331
 9.75  49.75    2041   0.325459     1.52333      4.74628      41.7175       66.136        80.4607       91.2687       77.1519      55.5224      21.0011       3.68854      0.17177
 9.75  49.75    2042   0.388743     0.637357     2.22397      18.185        81.2427       71.054        69.3635       55.7575      30.9955      18.4562       4.09988      0.085885
 9.75  49.75    2043   0.17177      0.718722    12.72         61.9954       58.4154       78.7294       86.0206       69.3499      55.5993      33.6941       4.1044       0.813648
 9.75  49.75    2044   0.68256      0.483668     1.77194      25.2728       67.4288       58.3205       70.2268       53.4114      45.0716      19.8304      10.0033       0.406824
 9.75  49.75    2045   0.158209     0.68708     15.7757       44.8049       67.135        94.0531       97.8547       59.1567      31.9085      17.5251       2.39122      0.442986
