      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.000     0.000    23.667    13.331     9.438    21.522    15.532    19.364     7.772     3.847     3.602     3.615
     9.75    49.75    1981     9.331    16.258    22.264    15.984     6.845     1.573     2.786     5.461    11.761     8.786     8.409     5.746
     9.75    49.75    1982     5.191    16.756    27.417    41.329    12.995     3.986    15.422    14.596    12.887     5.841     3.224     3.938
     9.75    49.75    1983     0.599    16.604    17.745    10.307     5.641    11.301    14.262     6.791     2.474     1.088     5.457     5.792
     9.75    49.75    1984     9.408    14.044    23.240    29.066    18.411    22.855     5.660     3.440     2.316     1.112     3.528     3.019
     9.75    49.75    1985     0.000     0.000    27.396    17.251     9.999    16.030     8.597    10.769     7.555     5.046     5.528     2.691
     9.75    49.75    1986     0.000     0.000     0.000    19.682    14.830     3.660     6.418     2.133     7.608     9.521     4.870     7.594
     9.75    49.75    1987     0.480     0.000    21.531    19.971    22.184    26.139    16.027     7.513    11.193     5.007     3.920     4.541
     9.75    49.75    1988     8.872    12.606    22.284    10.130     4.862     4.139     6.496     1.640     1.641     0.331     1.056     3.063
     9.75    49.75    1989     2.361     0.000    21.398    37.650    35.344    14.380     9.642     5.735     7.292     3.779     4.825     5.782
     9.75    49.75    1990     7.940     3.656    14.523    38.877    21.716    10.362     9.007     5.113     1.986     1.438     2.255     4.998
     9.75    49.75    1991     5.327    16.563    25.603    16.558    11.106    21.134     7.770     3.088     1.209     1.583     2.231     6.679
     9.75    49.75    1992     9.742    12.883    27.625    33.213    11.472    14.047     9.128     6.366     2.600     0.946     2.810     1.895
     9.75    49.75    1993     0.000     0.000    10.889    26.373     6.777     7.724     4.647     4.530    13.166     9.704     8.314     1.648
     9.75    49.75    1994     0.063    17.395    31.719    22.651     8.134     4.690     2.061     4.338     3.588     1.123     4.586     7.291
     9.75    49.75    1995     1.698     0.000    10.135    35.969    20.762     5.929    13.158    22.700     4.178     2.898     6.598     7.211
     9.75    49.75    1996     2.465    18.486    24.282    22.689     5.360     6.443     8.247    12.990     6.817     5.549     5.272     4.685
     9.75    49.75    1997     1.201     0.000    21.850    22.493    19.882    27.899    11.644     6.079     5.841     3.436     4.584     3.064
     9.75    49.75    1998     9.081    13.371    26.289    12.395     4.655    11.596     3.131     1.790     9.713     4.229     3.149     4.199
     9.75    49.75    1999     6.799    16.517    22.998    17.304     2.850    16.765     1.777     1.022     0.731     0.778     3.964     5.339
     9.75    49.75    2000     8.575    17.379    18.758    10.706     4.127    12.374    12.848     5.991     6.626     3.433     8.831     2.332
     9.75    49.75    2001     0.000     0.000     0.000    27.934    11.052    10.132     7.007    11.578     2.494     1.393     3.768     7.079
     9.75    49.75    2002     9.485    11.047    24.774    16.567    17.875     1.769     0.530     3.234     8.421     4.305     2.421     2.337
     9.75    49.75    2003     1.677     0.000    23.459    16.105    11.469     9.796    16.806    16.756     6.847     2.726     5.215     8.547
     9.75    49.75    2004     9.515    14.110    25.555    13.082    15.611    11.659     2.707     5.940     8.103     5.507     6.042     7.541
     9.75    49.75    2005     2.405     4.903    28.004    11.830    12.178     8.094     5.804     4.941     3.729     1.604     8.957     8.246
     9.75    49.75    2006     2.071     1.319    29.042     4.912     2.149     1.261     6.134     3.507     3.075     3.541    14.585     6.172
     9.75    49.75    2007     0.000     5.980    27.499    20.504     7.138     5.061     3.689     5.284     4.967     3.015     6.226     3.349
     9.75    49.75    2008     8.894    17.373    24.799    27.164    11.435     1.922     4.692    16.445    11.040     4.092     5.592     7.294
     9.75    49.75    2009    10.076    18.715    30.826    18.096     2.533     3.449     8.464     7.603     3.275     3.377     6.009     4.656
     9.75    49.75    2010     1.782     5.335    24.309     2.532     0.552     0.618     0.700     2.925    11.706     8.205     5.529     6.712
     9.75    49.75    2011     3.465     4.456    26.206     5.369     5.356     6.413     3.430     2.361     1.415     3.309     3.619     4.591
     9.75    49.75    2012     2.794    19.560    22.635    23.633    25.823    19.061    11.995     8.339    11.177     6.531     4.530     7.352
     9.75    49.75    2013     7.833    14.739    27.231    22.727    10.992    22.621    20.806     9.713     1.892     0.943     3.296     5.742
     9.75    49.75    2014     1.545     0.000    26.090    18.273    11.550    22.255    21.108     8.277     5.685     3.014     3.762     4.719
     9.75    49.75    2015     2.259    14.578    25.422    14.384     3.301     3.317    13.303    22.060     7.302     0.737     3.695     7.217
     9.75    49.75    2016    10.639    14.400    21.952    30.924    22.568    13.448    10.803     5.706    16.040    10.344     4.044     4.363
     9.75    49.75    2017     9.639    16.854    21.237    16.168     9.020     5.166     3.903     1.226     0.429     4.055     6.785     1.472
     9.75    49.75    2018     0.000    10.892    27.261    14.668    10.764     7.786     3.283     2.159     1.359     4.226     6.386     7.006
     9.75    49.75    2019     2.055    15.439    33.365    17.860     4.153    12.691     3.476     1.926     1.626     1.530     5.090     7.803
     9.75    49.75    2020     9.025    14.186    28.598    20.463     6.335     2.914     2.318     9.828     1.590     1.983     6.798     2.456
     9.75    49.75    2021     0.000     0.000    11.004    20.025     3.942    14.592     4.264     1.646     0.671     0.538     1.161     0.328
     9.75    49.75    2022     0.000     7.298    25.834     7.919     4.002    12.636     3.265     1.881     1.014     0.308     0.964     2.543
     9.75    49.75    2023     5.677    14.251    19.522    31.808    22.929     4.892     0.909     2.096     0.805     0.372     2.109     7.297
     9.75    49.75    2024     2.055    15.953    28.658    31.355    11.672     4.767     4.714     4.781     1.621     3.747     7.094     9.164
     9.75    49.75    2025    10.996    13.388    22.035    23.424     4.638     0.895     0.837     1.626     1.000     0.402     2.107     6.425
     9.75    49.75    2026     2.231    12.595    28.471    29.603    10.434    16.148     8.426     3.058     1.214     2.366     4.572     6.960
     9.75    49.75    2027     1.709     7.168    28.432    20.903    13.959    32.712    13.608     6.315     1.695     0.948     3.692     4.859
     9.75    49.75    2028     0.000    13.215    29.447    31.714    10.892     5.352     2.901     1.734     4.542     2.718     2.525     2.576
     9.75    49.75    2029     0.000     0.123    28.745    13.825     6.183     2.794     2.036     2.856     3.083     2.738     1.773     0.000
     9.75    49.75    2030     0.000     0.000    22.895    16.703    18.634    11.048    10.037     5.507     4.130     2.684     3.212     4.975
     9.75    49.75    2031     7.741    11.620    23.344    11.467     6.499     4.150     1.833     1.184     1.082     0.807     3.688     5.453
     9.75    49.75    2032     7.425    14.454    19.825     7.252     2.614    14.803     2.367     1.110     1.125     0.791     2.828     6.714
     9.75    49.75    2033     5.825    17.158    23.237    13.756     1.266     4.019     1.582     1.648     0.972     0.522     1.911     5.711
     9.75    49.75    2034     3.257     0.000    28.208     6.954     4.065    11.041    15.464     4.835     4.326     2.120     4.634     3.201
     9.75    49.75    2035     0.000    17.396    28.565    22.413     8.234     1.977     2.083    14.724     8.455     0.567     1.228     6.887
     9.75    49.75    2036     8.941    16.763    28.298    25.223     3.855     1.932     2.240     4.822     3.004     2.788     5.978     8.639
     9.75    49.75    2037    10.772    13.391    24.936     4.441     2.485     3.585     5.039     8.780     7.860     3.295     2.681     6.448
     9.75    49.75    2038    11.595    16.124    21.029    16.491     9.368    15.598     8.749     4.866     6.239     4.379     4.074     0.827
     9.75    49.75    2039     5.250    17.470    14.327     7.794     8.919     7.444     3.660     3.565     3.086     3.833     4.399     4.554
     9.75    49.75    2040     8.945    16.628    29.015    13.147     4.449    11.641     3.182     0.858     4.465     5.029     5.165     7.360
     9.75    49.75    2041    10.485    18.080    22.640    16.806     6.338    27.424    20.072    11.403     5.192     2.046     5.664     3.184
