      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
     9.75    49.75    1980   0.841   0.881   0.646   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1981   0.000   0.226   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1982   0.461   0.006   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.399
     9.75    49.75    1983   0.644   0.033   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1984   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.603
     9.75    49.75    1985   0.799   0.768   0.154   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.707
     9.75    49.75    1986   0.870   0.918   0.939   0.845   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.047
     9.75    49.75    1987   0.666   0.833   0.558   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1988   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1989   0.585   0.848   0.486   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.425
     9.75    49.75    1990   0.199   0.675   0.690   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1991   0.494   0.254   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.502   0.181
     9.75    49.75    1992   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.623
     9.75    49.75    1993   0.851   0.905   0.846   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.725
     9.75    49.75    1994   0.779   0.050   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1995   0.742   0.874   0.809   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1996   0.557   0.114   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    1997   0.720   0.869   0.718   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.417
     9.75    49.75    1998   0.233   0.217   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.003
     9.75    49.75    1999   0.319   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.571
     9.75    49.75    2001   0.820   0.851   0.878   0.310   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2002   0.000   0.417   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.255
     9.75    49.75    2003   0.672   0.840   0.744   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2004   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2005   0.650   0.749   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2006   0.634   0.816   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.221
     9.75    49.75    2007   0.842   0.759   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.366
     9.75    49.75    2008   0.175   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2009   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2010   0.711   0.799   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2011   0.580   0.692   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2012   0.544   0.277   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2013   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2014   0.704   0.846   0.314   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2015   0.604   0.406   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2016   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2017   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.702
     9.75    49.75    2018   0.873   0.723   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.106
     9.75    49.75    2019   0.722   0.152   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2020   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.691
     9.75    49.75    2021   0.839   0.882   0.845   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.791
     9.75    49.75    2022   0.911   0.870   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.119
     9.75    49.75    2023   0.315   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.231   0.004
     9.75    49.75    2024   0.634   0.329   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2025   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.275
     9.75    49.75    2026   0.667   0.613   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2027   0.679   0.668   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.480
     9.75    49.75    2028   0.830   0.734   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.332
     9.75    49.75    2029   0.851   0.855   0.020   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.424   0.819
     9.75    49.75    2030   0.868   0.903   0.603   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.041
     9.75    49.75    2031   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.010
     9.75    49.75    2032   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2033   0.438   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2034   0.593   0.809   0.204   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.543
     9.75    49.75    2035   0.735   0.243   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2036   0.273   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2037   0.000   0.353   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2038   0.014   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.758
     9.75    49.75    2039   0.677   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2040   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.178
     9.75    49.75    2041   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.634
     9.75    49.75    2042   0.798   0.308   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.681
     9.75    49.75    2043   0.824   0.852   0.138   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2044   0.000   0.353   0.002   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2045   0.707   0.764   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2046   0.546   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2047   0.694   0.885   0.890   0.086   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.007
     9.75    49.75    2048   0.505   0.104   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2049   0.629   0.535   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2050   0.648   0.895   0.753   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2051   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.193
     9.75    49.75    2052   0.644   0.817   0.196   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.562
     9.75    49.75    2053   0.854   0.911   0.772   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2054   0.606   0.445   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2055   0.273   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2056   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2057   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.386
     9.75    49.75    2058   0.169   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.422
     9.75    49.75    2059   0.758   0.491   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.420
     9.75    49.75    2060   0.139   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2061   0.746   0.245   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2062   0.483   0.124   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2063   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2064   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.546
     9.75    49.75    2065   0.828   0.680   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2066   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2067   0.311   0.842   0.324   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2068   0.693   0.709   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2069   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2070   0.197   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2071   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2072   0.494   0.173   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2073   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2074   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2075   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2076   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2077   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2078   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2079   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.499
     9.75    49.75    2080   0.742   0.462   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2081   0.459   0.267   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2082   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.503
     9.75    49.75    2083   0.146   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2084   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2085   0.498   0.162   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2086   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2087   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2088   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2089   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2090   0.023   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2091   0.624   0.881   0.617   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2092   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.704
     9.75    49.75    2093   0.671   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.554
     9.75    49.75    2094   0.359   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.619
     9.75    49.75    2095   0.739   0.577   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2096   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2097   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2098   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2099   0.117   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2100   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2101   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2102   0.200   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2103   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2104   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2105   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2106   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2107   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2108   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2109   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.312
     9.75    49.75    2110   0.176   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2111   0.178   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2112   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.436
     9.75    49.75    2113   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2114   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2115   0.586   0.137   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2116   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2117   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2118   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2119   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2120   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2121   0.478   0.815   0.298   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2122   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.580
     9.75    49.75    2123   0.308   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2124   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.449
     9.75    49.75    2125   0.657   0.410   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2126   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2127   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2128   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2129   0.286   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
     9.75    49.75    2130   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1980   0.463   0.707   0.165   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1981   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1982   0.723   0.457   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.573
    13.75    55.75    1983   0.847   0.763   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1984   0.000   0.312   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.698
    13.75    55.75    1985   0.815   0.873   0.926   0.761   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.624
    13.75    55.75    1986   0.832   0.885   0.927   0.898   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.032
    13.75    55.75    1987   0.693   0.844   0.898   0.747   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1988   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1989   0.659   0.825   0.819   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.551
    13.75    55.75    1990   0.387   0.535   0.724   0.003   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.581
    13.75    55.75    1991   0.743   0.771   0.098   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.593   0.516
    13.75    55.75    1992   0.013   0.686   0.389   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.521
    13.75    55.75    1993   0.816   0.900   0.863   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.257   0.808
    13.75    55.75    1994   0.910   0.904   0.549   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1995   0.606   0.809   0.618   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1996   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1997   0.529   0.827   0.844   0.077   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.237
    13.75    55.75    1998   0.089   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    1999   0.599   0.641   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2001   0.615   0.855   0.907   0.694   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.071
    13.75    55.75    2002   0.712   0.845   0.286   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2003   0.643   0.868   0.851   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2004   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2005   0.000   0.498   0.024   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.535
    13.75    55.75    2006   0.800   0.897   0.708   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2007   0.767   0.904   0.808   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.153
    13.75    55.75    2008   0.024   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2009   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2010   0.642   0.837   0.169   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
    13.75    55.75    2011   0.584   0.509   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
