      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.000     0.000    23.667    13.331     9.438    21.522    15.532    19.364     7.772     3.847     3.602     3.615
     9.75    49.75    1981     9.331    16.258    22.264    15.984     6.845     1.573     2.786     5.461    11.761     8.786     8.409     5.746
     9.75    49.75    1982     5.191    16.756    27.417    41.329    12.995     3.986    15.422    14.596    12.887     5.841     3.224     3.938
     9.75    49.75    1983     0.599    16.604    17.745    10.307     5.641    11.301    14.262     6.791     2.474     1.088     5.457     5.792
     9.75    49.75    1984     9.408    14.044    23.240    29.066    18.411    22.855     5.660     3.440     2.316     1.112     3.528     3.019
     9.75    49.75    1985     0.000     0.000    27.396    17.251     9.999    16.030     8.597    10.769     7.555     5.046     5.528     2.691
     9.75    49.75    1986     0.000     0.000     0.000    19.682    14.830     3.660     6.418     2.133     7.608     9.521     4.870     7.594
     9.75    49.75    1987     0.480     0.000    21.531    19.971    22.184    26.139    16.027     7.513    11.193     5.007     3.920     4.541
     9.75    49.75    1988     8.872    12.606    22.284    10.130     4.862     4.139     6.496     1.640     1.641     0.331     1.056     3.063
     9.75    49.75    1989     2.361     0.000    21.398    37.650    35.344    14.380     9.642     5.735     7.292     3.779     4.825     5.782
     9.75    49.75    1990     7.940     3.656    14.523    38.877    21.716    10.362     9.007     5.113     1.986     1.438     2.255     4.998
     9.75    49.75    1991     5.327    16.563    25.603    16.558    11.106    21.134     7.770     3.088     1.209     1.583     2.231     6.679
     9.75    49.75    1992     9.742    12.883    27.625    33.213    11.472    14.047     9.128     6.366     2.600     0.946     2.810     1.895
     9.75    49.75    1993     0.000     0.000    10.889    26.373     6.777     7.724     4.647     4.530    13.166     9.704     8.314     1.648
     9.75    49.75    1994     0.063    17.395    31.719    22.651     8.134     4.690     2.061     4.338     3.588     1.123     4.586     7.291
     9.75    49.75    1995     1.698     0.000    10.135    35.969    20.762     5.929    13.158    22.700     4.178     2.898     6.598     7.211
     9.75    49.75    1996     2.465    18.486    24.282    22.689     5.360     6.443     8.247    12.990     6.817     5.549     5.272     4.685
     9.75    49.75    1997     1.201     0.000    21.850    22.493    19.882    27.899    11.644     6.079     5.841     3.436     4.584     3.064
     9.75    49.75    1998     9.081    13.371    26.289    12.395     4.655    11.596     3.131     1.790     9.713     4.229     3.149     4.199
     9.75    49.75    1999     6.799    16.517    22.998    17.304     2.850    16.765     1.777     1.022     0.731     0.778     3.964     5.339
     9.75    49.75    2000     8.575    17.379    18.758    10.706     4.127    12.375    12.848     5.991     6.626     3.433     8.831     2.332
     9.75    49.75    2001     0.000     0.000     0.000    27.934    11.056    10.137     7.011    11.580     2.494     1.394     3.768     7.079
     9.75    49.75    2002     9.485    11.048    24.775    16.569    17.882     1.771     0.530     3.235     8.423     4.305     2.421     2.337
     9.75    49.75    2003     1.677     0.000    23.460    16.108    11.480     9.811    16.822    16.767     6.851     2.728     5.216     8.548
     9.75    49.75    2004     9.516    14.111    25.558    13.086    15.615    11.663     2.709     5.941     8.102     5.507     6.042     7.542
     9.75    49.75    2005     2.405     4.904    28.005    11.816    12.144     8.074     5.785     4.922     3.712     1.598     8.946     8.245
     9.75    49.75    2006     6.075     3.584    29.343    20.130    11.248    18.438    26.042     7.851     0.973     0.862     4.878     6.023
     9.75    49.75    2007     4.084    17.189    15.489     7.018     3.989     5.575     4.575     1.912     0.646     0.368     5.227     6.033
     9.75    49.75    2008     8.329    13.308    24.610    10.869     5.069     2.632     4.316    16.228     8.963     2.220     4.335     5.815
     9.75    49.75    2009     7.868    18.442    26.250    23.319    13.398    12.750     4.116     3.263     1.373     1.700     8.193     7.860
     9.75    49.75    2010     1.505    15.766    22.718    22.870    15.445    12.985     5.972     2.050     3.848     2.041     3.441     3.485
     9.75    49.75    2011     4.578    14.313    27.837    13.021    19.770    34.260    23.374    13.110     7.003     4.824     4.728     7.152
     9.75    49.75    2012     1.696     0.000    27.660    20.098     7.573     6.066     5.727    15.756    12.894     4.272     3.031     4.621
     9.75    49.75    2013     6.779    11.953    18.470     3.536     9.993     8.212     3.169     2.615     6.389     5.012     7.631     8.015
     9.75    49.75    2014     9.188    16.139    12.392    16.653    13.136     3.373    13.331    18.593     5.031     2.711     5.989     0.662
     9.75    49.75    2015     0.000     4.435    33.896    22.785     8.404     6.856     3.631     1.968     2.934     1.444     4.057     7.203
     9.75    49.75    2016    11.548    16.577    13.607     6.938     2.640     1.710     3.615     4.528     3.100     3.499     5.140     7.928
     9.75    49.75    2017     9.019     4.388    27.284     2.818     3.299     4.622     7.678    12.827     5.609     3.751     7.479     7.444
     9.75    49.75    2018     9.269    16.746    15.349    12.940     8.684     2.280     2.288     0.793     1.083     5.947     6.432     6.335
     9.75    49.75    2019     0.000     0.000    31.271     9.175     1.085     1.420     2.096     3.681     6.757     2.372     4.412     2.363
     9.75    49.75    2020     6.534    11.283    24.704    14.246     8.556    21.336    16.504     7.583     0.747     2.001    10.135     9.010
     9.75    49.75    2021     2.387    11.686    25.331    35.923    12.505     1.543     0.857     0.550     0.544     0.790     0.750     0.752
     9.75    49.75    2022     0.000     5.247    30.471    30.812    18.578    11.056     3.077     8.848     3.284     0.501     0.397     2.846
     9.75    49.75    2023     6.652     9.924    28.494    33.404     9.675    11.678     8.013    11.622     2.397     0.934     2.763     8.264
     9.75    49.75    2024     2.846    14.165    32.420    30.075    12.662     9.696    17.603    19.113     6.868     1.319     2.642     6.246
     9.75    49.75    2025     0.782     0.097    29.030    39.941    11.869     3.285     1.112     2.880     4.396     2.367     4.838     9.392
     9.75    49.75    2026     1.756    15.535    29.788    13.173     1.170     1.899     1.838     0.632     0.474     0.669     1.233     4.540
     9.75    49.75    2027     8.129    19.018    25.540    21.431     3.556     2.371     0.790     0.958     0.813     0.313     3.311     1.085
     9.75    49.75    2028     0.000     9.079    30.361    36.028    12.692     2.482     3.410     5.034     3.131     0.685     1.559     4.949
     9.75    49.75    2029    12.680    15.491    32.933    18.680    10.844     8.684     1.118     4.139     3.285     3.208     5.489     7.329
     9.75    49.75    2030     2.033    11.393    24.784    23.613    15.709     6.983    12.326     5.259     3.615     5.762     7.210     8.256
     9.75    49.75    2031    10.928    19.392    17.177     8.863     2.159    19.795    14.259     0.733     1.159     3.598     5.500     1.556
     9.75    49.75    2032     0.020    15.473    28.950    30.764    11.732    19.949     7.250    19.254    11.369     2.784     3.280     9.021
     9.75    49.75    2033     9.517     2.381    30.219    21.897    13.772    13.835     6.300    21.695     8.384     0.347     1.831     3.631
     9.75    49.75    2034     0.738     0.000    26.857    15.003     3.557     1.708     1.465     0.578     0.349     0.286     0.949     1.539
     9.75    49.75    2035     0.000    12.832    18.222    18.437    17.861    19.228    10.350    11.013     1.438     1.566     5.617     5.182
     9.75    49.75    2036     0.000     0.000    28.889    22.906     3.899     3.083     9.760    19.269    16.627    10.736    10.785     8.964
     9.75    49.75    2037    12.093    17.160    21.645    28.890    11.166     8.168     1.416     3.259     1.734     3.772     7.086     7.095
     9.75    49.75    2038    10.659    18.042    27.004    15.565    24.541    11.704     2.916     2.124     0.939     3.260     4.350     6.723
     9.75    49.75    2039    10.418    18.384    26.816     7.694     7.702     7.831     6.690     7.795     5.699     4.458     4.046     2.907
     9.75    49.75    2040     6.437    13.323    26.351    11.711     9.575    14.920     4.223     3.976     1.554     2.156     6.270     5.292
     9.75    49.75    2041    11.484    18.060    20.988    25.020     8.952     3.524     1.341     7.315     6.870     2.191     4.923     8.128
