      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.304     0.832    15.269    37.569    54.688    70.238    77.310    63.490    48.105    24.440     4.865     0.599
     9.75    49.75    1981     0.782     1.637    11.816    31.834    66.741    62.263    75.478    58.244    38.134    21.530     6.541     0.717
     9.75    49.75    1982     0.339     1.582     3.209    11.614    64.813    75.590    74.286    70.901    28.975    22.454     6.162     0.354
     9.75    49.75    1983     0.396     2.230    14.652    45.652    52.576    55.250    76.392    80.084    52.466    19.024     1.299     0.242
     9.75    49.75    1984     0.930     1.745     5.161    24.768    60.611    65.693    79.513    57.024    35.807    22.848     3.939     0.182
     9.75    49.75    1985     0.737     1.071     5.757    29.573    64.130    79.000    68.962    57.053    46.025    13.799     2.444     0.173
     9.75    49.75    1986     0.186     0.308     4.003    13.293    63.529    71.722    69.549    54.938    31.899    12.838     4.172     0.589
     9.75    49.75    1987     0.149     1.045     6.493    31.354    59.075    49.628    82.232    63.376    43.261    25.589     4.275     0.828
     9.75    49.75    1988     0.935     1.610    10.533    40.648    57.966    69.626    78.045    49.839    42.787    16.652     4.884     0.367
     9.75    49.75    1989     0.136     1.187     3.911    12.378    59.915    77.035    86.967    77.197    43.706    23.075     3.502     0.355
     9.75    49.75    1990     0.376     0.571     4.702    11.724    63.515    64.984    82.821    63.088    46.465    21.950     7.752     0.401
     9.75    49.75    1991     0.475     2.427    11.630    41.967    59.825    77.468    78.246    64.786    46.224    19.968     1.430     0.526
     9.75    49.75    1992     0.717     0.937     6.350    13.478    67.054    69.072    82.442    77.445    43.869    17.828     5.198     0.335
     9.75    49.75    1993     0.306     0.565     4.270    32.187    58.835    74.609    75.278    59.374    28.731    19.315     5.731     0.134
     9.75    49.75    1994     0.549     2.273     5.712    22.704    61.644    75.945    76.660    63.862    47.263    19.332     4.214     0.558
     9.75    49.75    1995     0.218     1.285     7.484    19.633    59.831    78.466    78.460    68.120    52.928    17.511     7.496     0.399
     9.75    49.75    1996     0.458     2.516     4.458    18.224    55.175    70.863    82.721    56.547    48.694    16.414     9.391     0.904
     9.75    49.75    1997     0.139     0.466     8.855    39.057    56.471    71.064    76.779    65.309    42.416    18.545     4.479     0.331
     9.75    49.75    1998     0.823     1.456     5.629    41.078    59.000    76.672    79.046    56.808    38.588    23.996     5.460     0.392
     9.75    49.75    1999     0.488     2.355    10.432    48.831    55.170    82.402    73.293    54.918    40.940    20.046     4.923     0.476
     9.75    49.75    2000     0.475     2.954    18.844    54.839    78.512    79.838    88.638    68.340    47.983    18.415     3.172     0.289
     9.75    49.75    2001     0.305     1.654     3.436    45.069    46.049    80.910    73.648    78.562    48.692    19.536     4.674     0.458
     9.75    49.75    2002     0.384     1.245    20.944    28.913    55.877    60.090    61.523    68.663    39.366    29.062     6.044     0.331
     9.75    49.75    2003     0.139     0.389    10.653    37.639    55.554    75.388    69.762    67.929    43.230    20.699     3.409     0.828
     9.75    49.75    2004     0.642     1.632    16.364    33.810    48.616    73.192    66.029    69.637    45.824    26.626     3.690     0.696
     9.75    49.75    2005     0.380     1.381    12.969    35.228    60.892    73.462    80.843    71.334    56.360    17.424     4.070     0.449
     9.75    49.75    2006     0.213     1.071    13.191    44.408    62.700    69.214    82.030    70.082    40.613    16.447     4.047     0.162
     9.75    49.75    2007     0.265     0.814    12.272    33.239    65.067    78.252    65.459    66.415    51.457    27.962     4.508     0.477
     9.75    49.75    2008     0.264     1.132    25.181    57.587    60.142    68.991    69.050    45.249    48.054    16.974     1.583     0.538
     9.75    49.75    2009     0.392     2.451     5.295    15.713    51.655    80.748    87.465    63.539    43.993    22.009     9.595     0.648
     9.75    49.75    2010     0.617     1.693     9.560    47.570    77.064    64.428    88.448    73.820    52.715    20.630     1.889     0.258
     9.75    49.75    2011     0.645     1.979    17.955    47.761    57.529    73.367    66.753    59.036    46.708    16.978     0.885     0.675
     9.75    49.75    2012     0.436     1.640     8.359    39.203    63.975    61.429    50.772    47.293    39.916    19.329     3.137     0.386
     9.75    49.75    2013     1.135     1.082    10.566    33.307    45.450    78.148    73.302    75.146    56.007    22.064     4.489     0.398
     9.75    49.75    2014     0.500     1.353     6.522    29.488    65.700    75.754    82.295    78.830    51.031    25.975     3.354     0.448
     9.75    49.75    2015     0.349     2.931    10.211    45.730    57.439    79.955    90.930    70.830    44.821    20.990     2.338     0.104
     9.75    49.75    2016     0.577     2.388    22.385    32.955    63.945    81.722    78.984    76.021    47.567    31.869     3.714     0.218
     9.75    49.75    2017     0.791     2.763    12.978    31.370    68.685    82.844    66.686    50.756    49.411    18.696     8.379     0.585
     9.75    49.75    2018     0.594     1.542    11.826    31.691    61.273    70.210    82.571    68.053    62.865    12.436     4.535     0.176
     9.75    49.75    2019     0.246     0.895    16.879    40.705    62.978    79.737    81.579    64.242    64.738    25.540     1.856     0.462
     9.75    49.75    2020     0.354     2.672    27.985    43.698    82.594    78.248    69.659    38.766    23.814    12.509     1.887     0.378
     9.75    49.75    2021     0.306     1.256     7.892    51.944    90.346    86.512    74.699    76.608    43.962    27.946     2.658     0.245
     9.75    49.75    2022     0.352     0.915     6.160    22.824    82.134    77.160    84.532    71.806    44.368    24.268     4.639     0.489
     9.75    49.75    2023     0.308     0.264    18.617    28.075    62.140    72.770    87.752    76.760    45.105    21.099     1.844     0.127
     9.75    49.75    2024     0.497     1.761    17.529    40.545    61.376    86.075    88.830    78.559    46.197    22.091     1.432     0.120
     9.75    49.75    2025     0.248     0.495    10.103    34.015    62.456    80.098    82.467    66.715    40.997    15.886     2.630     0.212
     9.75    49.75    2026     0.551     0.758     5.231    35.172    69.061    78.768    83.793    70.950    42.622    23.413     7.526     0.384
     9.75    49.75    2027     0.313     0.758    10.863    25.323    72.011    75.671    83.773    74.522    44.487    16.714     3.814     0.123
     9.75    49.75    2028     0.493     2.412     4.430    33.464    73.849    54.084    51.263    34.926    35.454    25.686     5.724     0.126
     9.75    49.75    2029     0.406     0.905     9.675    31.239    80.970    68.971    96.471    80.600    49.357    26.687     6.135     0.862
     9.75    49.75    2030     0.114     1.319    17.663    41.123    69.951    75.638    75.331    53.876    29.313    20.213     3.862     0.128
     9.75    49.75    2031     0.145     0.277     1.940    20.677    70.097    71.590    89.785    71.801    54.801    23.260     6.310     0.456
     9.75    49.75    2032     0.256     1.728     4.722    28.520    62.501    90.910    63.062    61.853    43.368    18.479     8.006     0.462
     9.75    49.75    2033     0.329     0.924    11.772    26.843    80.353    77.628    83.531    72.369    39.284    23.927     5.105     0.250
     9.75    49.75    2034     0.297     1.333    33.931    25.363    74.931    83.810    88.562    54.165    57.812    16.744     1.227     0.302
