  Lon    Lat    Year          Jan          Feb          Mar           Apr           May           Jun          Jul           Aug           Sep          Oct          Nov          Dec
 9.75  49.75    1980   0.300931     0.824551    15.2692       37.5682       54.6852       70.2313       77.3092      63.4904       48.1008      24.4356       4.86305      0.595844
 9.75  49.75    1981   0.781833     1.63474     11.8163       31.8301       66.7401       62.2623       75.4765      58.2406       38.1321      21.53         6.53896      0.710757
 9.75  49.75    1982   0.332328     1.58002      3.20668      11.614        64.8098       75.5843       74.2841      70.8967       28.9709      22.4467       6.15682      0.349819
 9.75  49.75    1983   0.390355     2.23306     14.6498       45.6486       52.5717       55.2467       76.3891      80.0802       52.4626      19.0241       1.29162      0.235361
 9.75  49.75    1984   0.927164     1.74126      5.16159      24.7677       60.6105       65.693        79.51        57.0206       35.8089      22.8456       3.9348       0.18091
 9.75  49.75    1985   0.735104     1.06367      5.75831      29.5712       64.1267       79.0014       68.9605      57.0485       46.0219      13.7943       2.43921      0.167069
 9.75  49.75    1986   0.186557     0.301784     4.00001      13.2895       63.5228       71.7203       69.5475      54.9356       31.8903      12.8395       4.16462      0.587107
 9.75  49.75    1987   0.145999     1.03822      6.48885      31.3519       59.0755       49.6235       82.2299      63.3744       43.259       25.5877       4.27182      0.827328
 9.75  49.75    1988   0.932757     1.60967     10.5268       40.6416       57.9642       69.621        78.0425      49.8359       42.7842      16.6457       4.88232      0.362443
 9.75  49.75    1989   0.131372     1.18761      3.90964      12.3753       59.911        77.0314       86.9632      77.1944       43.6997      23.0742       3.49976      0.352078
 9.75  49.75    1990   0.373092     0.570001     4.69992      11.7213       63.5137       64.9802       82.8212      63.0888       46.4655      21.9502       7.74684      0.399001
 9.75  49.75    1991   0.473265     2.42806     11.6259       41.9611       59.8217       77.4663       78.2431      64.7859       46.2205      19.9646       1.43008      0.524707
 9.75  49.75    1992   0.714992     0.92949      6.34811      13.4776       67.0509       69.0682       82.4386      77.4438       43.8699      17.8237       5.19391      0.331961
 9.75  49.75    1993   0.304231     0.562827     4.2643       32.1826       58.8332       74.6076       75.2718      59.3757       28.7295      19.3085       5.72968      0.131833
 9.75  49.75    1994   0.548757     2.27054      5.70908      22.7004       61.642        75.9399       76.6548      63.8622       47.2585      19.3273       4.20881      0.553791
 9.75  49.75    1995   0.214954     1.27972      7.47839      19.6308       59.8321       78.4631       78.4581      68.1154       52.9236      17.5062       7.49339      0.394915
 9.75  49.75    1996   0.456677     2.51669      4.4526       18.2224       55.1736       70.8644       82.7181      56.5436       48.6957      16.4106       9.3867       0.903427
 9.75  49.75    1997   0.138021     0.463357     8.85307      39.0551       56.4704       71.0612       76.7792      65.3087       42.4169      18.5441       4.47583      0.330265
 9.75  49.75    1998   0.822402     1.45389      5.62954      41.0761       58.9976       76.6694       79.0436      56.8045       38.5844      23.9916       5.45821      0.386725
 9.75  49.75    1999   0.486164     2.35303     10.4282       48.8303       55.1651       82.4          73.2893      54.9171       40.9399      20.0446       4.91998      0.471579
 9.75  49.75    2000   0.473192     2.95504     18.8408       54.8372       78.5065       79.8343       88.6318      68.3376       47.9807      18.4159       3.16749      0.28971
 9.75  49.75    2001   0.302135     1.64975      3.43379      45.0612       46.0444       80.905        73.6442      78.555        48.6917      19.5333       4.6711       0.4556
 9.75  49.75    2002   0.381082     1.24328     20.9452       28.9146       55.8714       60.0872       61.521       68.6567       39.3658      29.0623       6.04015      0.328683
 9.75  49.75    2003   0.137219     0.387999    10.6511       37.6312       55.5359       75.3712       69.7547      67.9188       43.2241      20.6964       3.40682      0.828047
 9.75  49.75    2004   0.63924      1.631       16.3617       33.8092       48.6292       73.207        66.0485      69.6583       45.8372      26.6318       3.68503      0.690943
 9.75  49.75    2005   0.378213     1.37744     12.9666       35.2205       60.8876       73.4574       80.8395      71.3422       56.3631      17.4258       4.06696      0.443583
 9.75  49.75    2006   0.171632     1.51222      5.64067      35.0594       66.8809       75.3234       87.5556      69.7894       44.9305      13.5358       4.87528      0.347903
 9.75  49.75    2007   0.188949     1.66368     10.9452       32.043        57.2793       69.6025       77.4692      70.0541       40.9928      19.7798       3.03241      0.571456
 9.75  49.75    2008   0.6456       3.34247     28.7452       46.7716       60.5582       84.5873       72.0141      53.8366       50.9703      14.8442       3.58514      0.851642
 9.75  49.75    2009   0.227465     0.668748     3.53936      30.726        51.3025       80.8275       87.2375      61.1791       52.7628      24.034        5.76397      0.418536
 9.75  49.75    2010   0.772965     4.0592      22.3572       53.9991       61.8508       67.257        78.3588      66.7598       39.5749      16.0741       1.14363      0.411344
 9.75  49.75    2011   0.926654     2.62175     21.408        55.8524       61.5389       82.1061       67.3339      49.5828       29.7705      10.2113       1.84427      0.415864
 9.75  49.75    2012   0.357101     2.43642     18.0494       52.8781       56.0287       76.1032       56.8604      59.0753       46.4005      15.6627       2.78448      0.226013
 9.75  49.75    2013   0.103966     1.85331      4.52026      24.7349       59.9432       68.2379       83.1412      64.5991       35.1857      16.0424       5.72717      0.361621
 9.75  49.75    2014   0.433945     0.777485     7.09229      32.8488       62.2395       70.498        73.7707      56.1824       40.1761      22.9584       7.72965      0.578594
 9.75  49.75    2015   0.782006     1.28828      8.09127      53.6194       62.8362       57.891        63.3334      61.1773       37.0571      19.8033       4.57903      0.180811
 9.75  49.75    2016   0.235054     0.384222     8.69699      52.3085       51.4723       74.9324       69.9782      64.364        47.8154      17.5205       3.64785      0.302858
 9.75  49.75    2017   0.664479     3.81962     27.5917       50.1252       52.4803       78.1599       82.6847      81.0438       47.1644      17.9635       1.15719      0.253135
 9.75  49.75    2018   0.135608     1.39676     11.5719       41.1841       62.9356       64.016        80.8268      67.1756       35.683       18.3523       5.56445      0.501749
 9.75  49.75    2019   0.605715     3.24103     16.2639       42.391        70.7467       81.4145       89.7815      74.2634       53.2578      21.3176       3.3902       0.284777
 9.75  49.75    2020   0.361621     1.76742      9.75473      29.7207       66.3032       62.2983       75.2262      65.2455       43.8782      23.9981       3.30431      0.501749
 9.75  49.75    2021   0.533391     2.89297      8.24496      40.384        60.3048       66.5112       59.7263      45.6863       44.1494      18.3884       3.55745      0.452026
 9.75  49.75    2022   0.393263     1.35608     22.2216       39.9817       66.6829       84.2125       80.7455      64.1064       39.5704      16.0741       1.40128      0.235054
 9.75  49.75    2023   0.230533     4.33041     29.4405       54.4827       50.184        82.088        77.4231      67.3113       49.4472      13.0907       2.789        0.393263
 9.75  49.75    2024   0.144648     1.56401     20.8655       44.3122       61.4168       66.4886       68.7216      37.4685       29.4947      18.4065       2.14713      0.316419
 9.75  49.75    2025   0.149169     3.32691     14.9892       17.1137       62.113        77.0027       82.3095      70.9365       37.6493      16.6843       5.59157      0.135608
 9.75  49.75    2026   0.442986     0.872411     9.84514      43.7742       63.5549       77.7937       91.6077      73.1469       36.0175      35.7056       4.61067      0.574074
 9.75  49.75    2027   0.452026     0.551472     3.61621      35.8728       73.5537       85.5686       92.4756      66.0727       36.2209      23.4195       3.15966      0.501749
 9.75  49.75    2028   0.370662     3.1461      24.7258       24.9247       68.5543       81.0664       87.0513      64.7302       45.9892      15.1971       7.57596      0.705161
 9.75  49.75    2029   0.366141     2.41382      4.42534      27.5781       74.1097       86.1653       82.531       71.9943       44.5562      27.881       10.8351       0.51079
 9.75  49.75    2030   0.587634     1.87591      4.64231      33.6082       69.2098       55.9744       76.5597      54.98         41.0259      23.0759       4.82312      0.16725
 9.75  49.75    2031   0.194371     1.88495      7.83814      30.9955       58.8629       86.545        76.84        74.3448       37.9476      33.1245       5.69553      0.293817
 9.75  49.75    2032   0.0904053    0.207932     6.51822      31.2938       62.3164       69.6437       62.3796      74.0917       54.424       23.8354       4.42986      0.976377
 9.75  49.75    2033   0.366141     1.12555     25.8695       39.3851       56.44         74.8872       72.4011      65.589        40.6146      15.7893       6.34645      0.565033
 9.75  49.75    2034   0.149169     4.77792     26.5385       53.7143       55.6445       76.6004       86.111       51.4723       44.7551      21.2136       5.00393      0.980897
 9.75  49.75    2035   0.623796     1.0487       9.31626      34.1009       65.5845       55.206        81.5772      59.5997       40.5694      18.3116       4.1496       0.727763
 9.75  49.75    2036   0.17629      0.985418     9.84514      48.3804       66.4117       85.8263       93.1762      73.5402       47.856       23.207        2.15617      0.153689
 9.75  49.75    2037   0.673519     2.52683     27.9217       44.6693       59.1025       61.2722       77.4728      77.7531       41.4192      23.1573       3.7699       0.397783
 9.75  49.75    2038   0.212452     0.68708      2.08836      34.7066       65.5122       43.842        75.8184      63.8578       56.0242      21.53         4.49766      0.235054
 9.75  49.75    2039   0.153689     0.488189     9.46091      38.5081       64.6307       82.766        53.3572      65.9235       38.5488      30.218        2.78448      0.33902
 9.75  49.75    2040   0.51079      1.44196     11.6261       29.3998       69.8336       71.4021       77.6355      64.2194       36.6774      28.0392      10.0802       0.34806
 9.75  49.75    2041   0.0949256    0.546952     1.46457      24.7665       59.6584       84.0091      100.142       81.2563       48.5296      28.1522       7.41775      0.592155
 9.75  49.75    2042   0.216973     5.45144     22.9584       50.758        58.1216       72.0621       84.3798      54.4195       47.1012      22.2894       2.40478      0.085885
 9.75  49.75    2043   0.0949256    1.31992     14.9711       52.2814       74.5527       56.7971       66.2535      63.2521       52.7876      23.7178       3.458        0.180811
 9.75  49.75    2044   0.316419     0.813648     2.70312      42.5357       70.4754       84.8634      106.226       76.6998       54.3652      17.1182       4.3711       0.470107
 9.75  49.75    2045   0.325459     0.818168     2.75736      32.2069       54.5958       76.3653       74.72        70.0777       52.5933      21.7515       5.83566      0.212452
