      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.000     0.000    23.667    13.331     9.438    21.522    15.532    19.364     7.772     3.847     3.602     3.615
     9.75    49.75    1981     9.331    16.258    22.264    15.984     6.845     1.573     2.786     5.461    11.761     8.786     8.409     5.746
     9.75    49.75    1982     5.191    16.756    27.417    41.329    12.995     3.986    15.422    14.596    12.887     5.841     3.224     3.938
     9.75    49.75    1983     0.599    16.604    17.745    10.307     5.641    11.301    14.262     6.791     2.474     1.088     5.457     5.792
     9.75    49.75    1984     9.408    14.044    23.240    29.066    18.411    22.855     5.660     3.440     2.316     1.112     3.528     3.019
     9.75    49.75    1985     0.000     0.000    27.396    17.251     9.999    16.030     8.597    10.769     7.555     5.046     5.528     2.691
     9.75    49.75    1986     0.000     0.000     0.000    19.682    14.830     3.660     6.418     2.133     7.608     9.521     4.870     7.594
     9.75    49.75    1987     0.480     0.000    21.531    19.971    22.184    26.139    16.027     7.513    11.193     5.007     3.920     4.541
     9.75    49.75    1988     8.872    12.606    22.284    10.130     4.862     4.139     6.496     1.640     1.641     0.331     1.056     3.063
     9.75    49.75    1989     2.361     0.000    21.398    37.650    35.344    14.380     9.642     5.735     7.292     3.779     4.825     5.782
     9.75    49.75    1990     7.940     3.656    14.523    38.877    21.716    10.362     9.007     5.113     1.986     1.438     2.255     4.998
     9.75    49.75    1991     5.327    16.563    25.603    16.558    11.106    21.134     7.770     3.088     1.209     1.583     2.231     6.679
     9.75    49.75    1992     9.742    12.883    27.625    33.213    11.472    14.047     9.128     6.366     2.600     0.946     2.810     1.895
     9.75    49.75    1993     0.000     0.000    10.889    26.373     6.777     7.724     4.647     4.530    13.166     9.704     8.314     1.648
     9.75    49.75    1994     0.063    17.395    31.719    22.651     8.134     4.690     2.061     4.338     3.588     1.123     4.586     7.291
     9.75    49.75    1995     1.698     0.000    10.135    35.969    20.762     5.929    13.158    22.700     4.178     2.898     6.598     7.211
     9.75    49.75    1996     2.465    18.486    24.282    22.689     5.360     6.443     8.247    12.990     6.817     5.549     5.272     4.685
     9.75    49.75    1997     1.201     0.000    21.850    22.493    19.882    27.899    11.644     6.079     5.841     3.436     4.584     3.064
     9.75    49.75    1998     9.081    13.371    26.289    12.395     4.655    11.596     3.131     1.790     9.713     4.229     3.149     4.199
     9.75    49.75    1999     6.799    16.517    22.998    17.304     2.850    16.765     1.777     1.022     0.731     0.778     3.964     5.339
     9.75    49.75    2000     8.575    17.379    18.758    10.706     4.127    12.374    12.848     5.991     6.626     3.433     8.831     2.332
     9.75    49.75    2001     0.000     0.000     0.000    27.934    11.055    10.136     7.010    11.580     2.494     1.394     3.768     7.079
     9.75    49.75    2002     9.485    11.047    24.775    16.569    17.882     1.771     0.530     3.235     8.423     4.306     2.421     2.337
     9.75    49.75    2003     1.677     0.000    23.460    16.108    11.479     9.809    16.819    16.765     6.850     2.728     5.216     8.548
     9.75    49.75    2004     9.516    14.110    25.558    13.088    15.625    11.672     2.713     5.951     8.112     5.512     6.043     7.542
     9.75    49.75    2005     2.405     4.904    28.004    11.814    12.139     8.070     5.781     4.918     3.709     1.597     8.945     8.245
     9.75    49.75    2006     2.106     2.877    31.303    13.431     2.734     2.284     5.290     7.488     1.617     0.514     4.242     0.748
     9.75    49.75    2007     0.000     0.000    18.557    19.697     5.128     3.669    16.058    19.809     7.016     1.990     2.367     4.971
     9.75    49.75    2008     1.738     0.000    24.805     3.701     1.686     3.502     3.144     4.891     3.536     1.314     5.461     7.470
     9.75    49.75    2009     2.454    15.909    24.161    27.767    16.418    16.006     8.794    14.717     8.997     3.697     3.241     4.033
     9.75    49.75    2010     8.879    16.585    26.635    16.348     5.763    26.491    20.471     6.468     8.733     3.764     6.340     3.912
     9.75    49.75    2011     9.910    14.686    22.922    11.416     8.661     6.847     2.735     2.800     2.337     1.436     5.613     7.930
     9.75    49.75    2012    10.346    13.516    28.721    15.713     4.823     2.623     1.798     2.087     2.962     3.438     5.116     8.342
     9.75    49.75    2013    10.895     4.696    34.381    25.961    23.582    22.671    27.116     8.666     3.951     1.770     3.369     5.969
     9.75    49.75    2014     2.872    13.911    24.022    20.510     7.192     5.511    16.212     9.158     3.798     1.554     2.961     8.487
     9.75    49.75    2015     3.131    17.910    27.972    17.267     2.381    15.581    16.593     9.981     5.472     5.842     8.228     1.599
     9.75    49.75    2016     2.145    17.430    19.856    14.278     7.890    17.413     8.733     6.757     5.507     2.171     2.214     2.774
     9.75    49.75    2017    10.578    18.151    25.159    17.694     5.844     9.011     3.671     7.644     3.960     3.097     4.475     6.031
     9.75    49.75    2018     9.954    17.408    25.053    20.948    14.402     3.363     6.779    15.047     5.703     5.833     7.759     2.340
     9.75    49.75    2019     0.000     0.000    24.027    14.272     7.833     5.256     3.556    16.514    11.585     0.984     3.248     5.729
     9.75    49.75    2020     6.161    19.222    16.107     8.241     8.625     4.155     1.962     0.639     0.311     1.353     8.089     7.201
     9.75    49.75    2021     4.768    12.573    25.951    17.570    15.335    19.026     2.859     4.668     3.124     2.583     5.509     3.411
     9.75    49.75    2022     0.000     6.150    33.847    29.096    16.616    25.667    13.036     4.550     0.784     0.970     1.505     4.673
     9.75    49.75    2023     3.610     0.000    23.811    16.524    17.786     3.918     4.075     4.803     2.648     1.617     4.471     3.124
     9.75    49.75    2024     6.532    13.923    20.746     7.415    12.117     9.547     5.601     5.486     3.259     3.008     6.451     1.311
     9.75    49.75    2025     0.000     0.000    23.851    24.264    19.295     6.226     3.862     2.944     6.782     4.248     6.168     3.614
     9.75    49.75    2026     4.567    14.706    31.219    15.874     3.302     3.154     2.821     2.684     1.964     1.318     1.322     1.072
     9.75    49.75    2027     0.000     6.663    30.038    29.510    10.665     6.678     2.829     3.617     1.281     0.459     2.613     2.403
     9.75    49.75    2028     9.401    19.247    27.302    24.263     3.274     0.646     0.683     0.558     1.041     1.216     2.299     0.827
     9.75    49.75    2029     4.610    17.733    33.783    23.177     5.788    16.229     9.218     4.615     1.830     0.660     1.089     3.783
     9.75    49.75    2030     0.628    12.761    19.478     6.559     5.632     1.869     3.372     1.717     0.832     0.432     1.929     0.986
     9.75    49.75    2031     0.000     0.000     0.000    28.002     8.238    38.068    14.180     1.503     0.486     0.305     1.350     4.016
     9.75    49.75    2032     2.754    16.523    31.686    18.746     1.566     9.785     0.930     1.064     1.825     0.408     1.520     5.340
     9.75    49.75    2033     9.947    15.270    25.395    23.400     8.760     2.847     5.289     3.558     1.327     0.613     2.400     4.348
     9.75    49.75    2034     9.208    15.933    18.605    10.732    11.492     2.480     3.707     6.213     6.368     2.593     4.778     6.038
     9.75    49.75    2035    11.133    16.959    30.992    17.566     4.906     1.880     2.024     1.518     0.458     1.047     1.874     1.438
     9.75    49.75    2036     0.000     0.000    30.912    29.061    15.653    12.127     3.674     1.652     1.698     0.857     0.942     5.290
     9.75    49.75    2037     9.520    16.456    17.785    19.444     7.816     6.664     1.962     1.746     1.106     0.916     2.096     7.318
     9.75    49.75    2038     9.859    16.852    20.707    18.572     3.980     0.821     1.801     6.162     4.259     1.536     1.620     7.579
     9.75    49.75    2039    10.084     4.486    31.775     9.070     9.789    24.596    11.495     7.164     3.914     0.676     2.094     7.299
     9.75    49.75    2040    10.774    14.767    17.656     9.370     9.892    20.118     5.085     4.835     1.186     0.971     2.753     7.324
     9.75    49.75    2041    10.571     8.121    30.883     9.121     4.594    15.166     9.307    20.870    13.182     3.668     4.563     7.181
