  Lon    Lat    Year          Jan          Feb          Mar          Apr           May           Jun          Jul           Aug          Sep          Oct          Nov          Dec
 9.75  49.75    1980   0.300931     0.824551    15.2692      37.5682       54.6852       70.2313       77.3092      63.4904      48.1008      24.4356       4.86305      0.595844
 9.75  49.75    1981   0.781833     1.63474     11.8163      31.8301       66.7401       62.2623       75.4765      58.2406      38.1321      21.53         6.53896      0.710757
 9.75  49.75    1982   0.332328     1.58002      3.20668     11.614        64.8098       75.5843       74.2841      70.8967      28.9709      22.4467       6.15682      0.349819
 9.75  49.75    1983   0.390355     2.23306     14.6498      45.6486       52.5717       55.2467       76.3891      80.0802      52.4626      19.0241       1.29162      0.235361
 9.75  49.75    1984   0.927164     1.74126      5.16159     24.7677       60.6105       65.693        79.51        57.0206      35.8089      22.8456       3.9348       0.18091
 9.75  49.75    1985   0.735104     1.06367      5.75831     29.5712       64.1267       79.0014       68.9605      57.0485      46.0219      13.7943       2.43921      0.167069
 9.75  49.75    1986   0.186557     0.301784     4.00001     13.2895       63.5228       71.7203       69.5475      54.9356      31.8903      12.8395       4.16462      0.587107
 9.75  49.75    1987   0.145999     1.03822      6.48885     31.3519       59.0755       49.6235       82.2299      63.3744      43.259       25.5877       4.27182      0.827328
 9.75  49.75    1988   0.932757     1.60967     10.5268      40.6416       57.9642       69.621        78.0425      49.8359      42.7842      16.6457       4.88232      0.362443
 9.75  49.75    1989   0.131372     1.18761      3.90964     12.3753       59.911        77.0314       86.9632      77.1944      43.6997      23.0742       3.49976      0.352078
 9.75  49.75    1990   0.373092     0.570001     4.69992     11.7213       63.5137       64.9802       82.8212      63.0888      46.4655      21.9502       7.74684      0.399001
 9.75  49.75    1991   0.473265     2.42806     11.6259      41.9611       59.8217       77.4663       78.2431      64.7859      46.2205      19.9646       1.43008      0.524707
 9.75  49.75    1992   0.714992     0.92949      6.34811     13.4776       67.0509       69.0682       82.4386      77.4438      43.8699      17.8237       5.19391      0.331961
 9.75  49.75    1993   0.304231     0.562827     4.2643      32.1826       58.8332       74.6076       75.2718      59.3757      28.7295      19.3085       5.72968      0.131833
 9.75  49.75    1994   0.548757     2.27054      5.70908     22.7004       61.642        75.9399       76.6548      63.8622      47.2585      19.3273       4.20881      0.553791
 9.75  49.75    1995   0.214954     1.27972      7.47839     19.6308       59.8321       78.4631       78.4581      68.1154      52.9236      17.5062       7.49339      0.394915
 9.75  49.75    1996   0.456677     2.51669      4.4526      18.2224       55.1736       70.8644       82.7181      56.5436      48.6957      16.4106       9.3867       0.903427
 9.75  49.75    1997   0.138021     0.463357     8.85307     39.0551       56.4704       71.0612       76.7792      65.3087      42.4169      18.5441       4.47583      0.330265
 9.75  49.75    1998   0.822402     1.45389      5.62954     41.0761       58.9976       76.6694       79.0436      56.8045      38.5844      23.9916       5.45821      0.386725
 9.75  49.75    1999   0.486164     2.35303     10.4282      48.8303       55.1651       82.4          73.2893      54.9171      40.9399      20.0446       4.91998      0.471579
 9.75  49.75    2000   0.473192     2.95504     18.8456      54.8372       78.5065       79.8343       88.6318      68.3376      47.9807      18.4159       3.16749      0.28971
 9.75  49.75    2001   0.302135     1.64975      3.43379     45.066        46.0444       80.9098       73.6442      78.555       48.6917      19.5333       4.6711       0.4556
 9.75  49.75    2002   0.381082     1.24328     20.9452      28.9099       55.8714       60.0919       61.521       68.6567      39.3658      29.0575       6.04015      0.328683
 9.75  49.75    2003   0.137219     0.387999    10.6511      37.6359       55.5454       75.376        69.7547      67.9235      43.2241      20.6964       3.40682      0.828047
 9.75  49.75    2004   0.63924      1.631       16.3617      33.8139       48.6292       73.2117       66.0485      69.6583      45.8372      26.6365       3.68503      0.690943
 9.75  49.75    2005   0.378213     1.37744     12.9666      35.2158       60.8783       73.4527       80.8302      71.3282      56.3537      17.4211       4.06696      0.443583
 9.75  49.75    2006   0.231935     1.24317      8.39606     25.9211       65.7723       75.5507       83.5246      78.2318      52.8998      20.6283       6.42461      0.417484
 9.75  49.75    2007   0.774231     2.36878     21.0333      44.4446       62.6206       74.6672       74.4599      63.1782      32.6652      15.775        2.02775      0.74658
 9.75  49.75    2008   0.421242     1.42856     16.5567      50.7963       60.7642       68.0581       73.5251      61.9043      57.5133      21.987        3.02653      0.439557
 9.75  49.75    2009   0.332099     1.79243      5.68663     34.7931       65.8102       86.4231       79.3535      64.955       44.6605      21.2498       4.35368      0.723339
 9.75  49.75    2010   0.316419     2.47258     14.9033      25.3677       66.5609       84.5154       77.405       62.8769      48.4166      23.7947       3.25007      0.16725
 9.75  49.75    2011   0.388743     0.84981     10.3198      35.6016       37.1069       61.5434       75.2669      73.5492      42.6984      19.6044       4.57903      0.881452
 9.75  49.75    2012   0.239574     1.75838     12.72        32.4962       66.0094       78.3407       72.0123      65.3585      45.8038      26.326        3.37212      0.3345
 9.75  49.75    2013   0.659959     1.60469     23.6636      46.952        57.7735       74.8511       54.8353      54.7314      29.0834      18.8224       2.3189       0.546952
 9.75  49.75    2014   0.637357     6.21536     20.2146      32.7674       68.8979       69.9466       52.6746      78.5667      49.2438      11.2103       2.25561      0.135608
 9.75  49.75    2015   0.257655     2.4093      10.4599      32.1481       60.2777       70.593        75.1856      61.2812      42.5447      25.318        3.00598      0.275736
 9.75  49.75    2016   0.976377     4.53383     23.5325      39.8461       62.226        60.5806       70.7467      51.7254      36.9984      13.4161       1.31992      0.3345
 9.75  49.75    2017   0.420385     0.650918    27.0357      47.9916       54.2432       74.3086       72.6         55.7213      54.4104      15.5          2.73476      0.628317
 9.75  49.75    2018   0.574074     5.74978     19.4507      37.0842       66.6061       64.9155       72.2971      39.7738      40.7231      17.1137       5.49212      0.596675
 9.75  49.75    2019   0.216973     1.43744     14.2298      55.3552       59.9342       60.4224       67.1169      63.0758      45.293       28.0211       2.7212       0.17629
 9.75  49.75    2020   0.420385     1.66798      6.1114      49.4562       66.6377       66.032        84.0362      81.8258      40.3931      15.1112       3.02858      0.623796
 9.75  49.75    2021   0.253135     1.50977      7.11038     23.2703       64.2013       54.8986       64.0567      48.1092      36.3972      22.9268      10.9797       0.696121
 9.75  49.75    2022   0.216973     1.23403      6.17016     15.8797       49.5376       79.7917       73.3729      63.2159      54.3019      23.2116      10.2158       1.03514
 9.75  49.75    2023   0.280256     1.0487       8.22236     21.2995       69.8833       71.3885       88.118       79.0956      50.3919      22.6691       3.68854      0.420385
 9.75  49.75    2024   0.578594     1.30184      7.77485     21.6792       78.5984       76.2749       83.6339      67.9712      51.7073      30.2315       5.13954      0.804607
 9.75  49.75    2025   0.185331     1.84427      3.35856     18.5873       62.0542       60.6619       49.3296      64.9426      47.7973      17.724        3.7699       0.804607
 9.75  49.75    2026   0.384222     2.70312      9.15354     44.2398       58.3069       67.5508       71.5196      32.9166      30.0055      22.3256       4.28973      0.646398
 9.75  49.75    2027   0.714202     4.15412      6.00291     44.5336       60.6484       62.678        58.2255      54.7766      30.6338      15.9294       3.16419      0.140128
 9.75  49.75    2028   0.33902      2.47258      6.02551     17.6426       68.5769       76.0896       78.639       68.5634      52.8735      23.9755       6.4685       0.659959
 9.75  49.75    2029   2.36862      1.88043      7.2279      53.2804       55.997        80.6054       55.8569      66.8502      47.6888      20.6892       3.15514      0.546952
 9.75  49.75    2030   0.320939     1.65442      5.13954     28.2245       71.1806       81.0619       82.2236      75.2353      53.0137      14.5191       6.61767      0.836249
 9.75  49.75    2031   1.01254      7.32283     22.9268      45.614        62.5243       59.4098       84.5244      49.3161      46.179       18.0313       6.21988      0.592155
 9.75  49.75    2032   0.610236     2.02508      8.14552     26.2085       63.0215       65.1732       77.9339      66.5428      50.9976      30.2767       4.45246      1.59565
 9.75  49.75    2033   0.926654     1.01254     20.4226      24.5224       82.0247       77.6581       83.4757      57.4706      63.6092      25.1417       7.10586      0.985418
 9.75  49.75    2034   0.293817     1.13459      9.96266     43.8556       61.9231       61.67         55.215       35.1089      19.749       19.9253       6.74875      0.610236
 9.75  49.75    2035   1.03514      3.90551     15.5768      36.3746       53.2894       73.6261       81.4868      66.8321      45.7632      20.4406       5.70005      0.546952
 9.75  49.75    2036   0.198892     2.07028      8.95012     47.7837       61.67         66.7327       66.918       62.8904      34.3902      20.6892       2.6986       1.03514
 9.75  49.75    2037   1.46005      6.62219     11.9199      31.4023       55.0116       76.1529       53.7098      70.4257      41.3604      12.2409       2.86133      0.610236
 9.75  49.75    2038   1.22047      2.20137     16.2775      35.5248       42.7481       75.4297       69.1691      56.1372      34.9281      18.4879       5.38816      0.732283
 9.75  49.75    2039   1.06226      3.57101     22.3075      48.7917       58.5148       84.8273       77.0524      69.5533      44.2715      24.3416       8.76479      0.971857
 9.75  49.75    2040   0.782006     3.20487     17.0504      43.0826       55.7077       70.9817       74.5437      74.6793      45.614       14.2162       6.06167      0.424905
 9.75  49.75    2041   0.976377     6.42782     16.2458      35.5112       79.0278       64.8613       60.1783      67.5644      54.5279      26.5792       2.51779      0.804607
 9.75  49.75    2042   0.429425     1.63634      5.42884     26.2944       63.7719       85.0307       71.7502      52.4486      41.2339      20.4316       6.8482       0.6916
 9.75  49.75    2043   1.88947      5.81758     32.4962      48.5341       66.3891       38.0651       59.2155      73.4679      53.9222      17.281        4.22193      0.818168
 9.75  49.75    2044   1.22499      3.34048     17.6019      33.0115       72.3423       71.045        78.8379      64.7709      58.2933      15.717        3.11898      0.655438
 9.75  49.75    2045   1.0487       3.40376     19.9479      53.1809       55.5134       61.8508       62.1717      60.3591      31.4746      21.5888       6.16112      0.67804
