      Lon      Lat    Year   Abi_alb       BES   Bet_pen   Bet_pub   Car_bet   Cor_ave   Fag_syl   Fra_exc   Jun_oxy   Lar_dec       MRS   Pic_abi   Pin_syl   Pin_hal   Pop_tre   Que_coc   Que_ile   Que_pub   Que_rob   Til_cor   Ulm_gla     C3_gr
     9.75    49.75    1980  0.000050  0.000005  0.000147  0.000680  0.000505  0.000043  0.005223  0.000534  0.000000  0.000004  0.000000  0.001276  0.001631  0.000000  0.000156  0.000000  0.000000  0.000515  0.004154  0.000225  0.000568  0.000000
     9.75    49.75    1981  0.000051  0.000006  0.000154  0.000709  0.000522  0.000045  0.005304  0.000554  0.000000  0.000005  0.000000  0.001308  0.001645  0.000000  0.000163  0.000000  0.000000  0.000524  0.004238  0.000233  0.000589  0.000000
     9.75    49.75    1982  0.000052  0.000006  0.000155  0.000716  0.000525  0.000045  0.005311  0.000558  0.000000  0.000003  0.000000  0.001328  0.001652  0.000000  0.000163  0.000000  0.000000  0.000527  0.004259  0.000233  0.000594  0.000000
     9.75    49.75    1983  0.000051  0.000008  0.000159  0.000739  0.000537  0.000047  0.005347  0.000574  0.000000  0.000004  0.000000  0.001359  0.001671  0.000000  0.000166  0.000000  0.000000  0.000534  0.004306  0.000238  0.000610  0.000000
     9.75    49.75    1984  0.000052  0.000009  0.000164  0.000750  0.000547  0.000048  0.005418  0.000587  0.000000  0.000005  0.000000  0.001398  0.001688  0.000000  0.000170  0.000000  0.000000  0.000541  0.004377  0.000244  0.000625  0.000000
     9.75    49.75    1985  0.000054  0.000010  0.000170  0.000768  0.000560  0.000050  0.005478  0.000603  0.000000  0.000005  0.000000  0.001438  0.001714  0.000000  0.000175  0.000000  0.000000  0.000548  0.004442  0.000250  0.000642  0.000000
     9.75    49.75    1986  0.000054  0.000010  0.000176  0.000792  0.000574  0.000053  0.005546  0.000622  0.000000  0.000006  0.000000  0.001472  0.001732  0.000000  0.000180  0.000000  0.000000  0.000557  0.004515  0.000257  0.000662  0.000000
     9.75    49.75    1987  0.000055  0.000009  0.000178  0.000797  0.000577  0.000053  0.005550  0.000627  0.000000  0.000006  0.000000  0.001481  0.001740  0.000000  0.000179  0.000000  0.000000  0.000558  0.004540  0.000257  0.000667  0.000000
     9.75    49.75    1988  0.000055  0.000008  0.000189  0.000837  0.000599  0.000055  0.005634  0.000655  0.000000  0.000006  0.000000  0.001511  0.001758  0.000000  0.000186  0.000000  0.000000  0.000570  0.004641  0.000266  0.000697  0.000000
     9.75    49.75    1989  0.000053  0.000006  0.000155  0.000554  0.000465  0.000050  0.005480  0.000489  0.000000  0.000005  0.000000  0.001535  0.001750  0.000000  0.000168  0.000000  0.000000  0.000563  0.004505  0.000240  0.000549  0.000000
