  Lon    Lat    Year          Jan          Feb          Mar          Apr           May           Jun           Jul           Aug          Sep          Oct          Nov          Dec
 9.75  49.75    1980   0.300931     0.824551    15.2692      37.5682       54.6852       70.2313       77.3092       63.4904      48.1008      24.4356       4.86305      0.595844
 9.75  49.75    1981   0.781833     1.63474     11.8163      31.8301       66.7401       62.2623       75.4765       58.2406      38.1321      21.53         6.53896      0.710757
 9.75  49.75    1982   0.332328     1.58002      3.20668     11.614        64.8098       75.5843       74.2841       70.8967      28.9709      22.4467       6.15682      0.349819
 9.75  49.75    1983   0.390355     2.23306     14.6498      45.6486       52.5717       55.2467       76.3891       80.0802      52.4626      19.0241       1.29162      0.235361
 9.75  49.75    1984   0.927164     1.74126      5.16159     24.7677       60.6105       65.693        79.51         57.0206      35.8089      22.8456       3.9348       0.18091
 9.75  49.75    1985   0.735104     1.06367      5.75831     29.5712       64.1267       79.0014       68.9605       57.0485      46.0219      13.7943       2.43921      0.167069
 9.75  49.75    1986   0.186557     0.301784     4.00001     13.2895       63.5228       71.7203       69.5475       54.9356      31.8903      12.8395       4.16462      0.587107
 9.75  49.75    1987   0.145999     1.03822      6.48885     31.3519       59.0755       49.6235       82.2299       63.3744      43.259       25.5877       4.27182      0.827328
 9.75  49.75    1988   0.932757     1.60967     10.5268      40.6416       57.9642       69.621        78.0425       49.8359      42.7842      16.6457       4.88232      0.362443
 9.75  49.75    1989   0.131372     1.18761      3.90964     12.3753       59.911        77.0314       86.9632       77.1944      43.6997      23.0742       3.49976      0.352078
 9.75  49.75    1990   0.373092     0.570001     4.69992     11.7213       63.5137       64.9802       82.8212       63.0888      46.4655      21.9502       7.74684      0.399001
 9.75  49.75    1991   0.473265     2.42806     11.6259      41.9611       59.8217       77.4663       78.2431       64.7859      46.2205      19.9646       1.43008      0.524707
 9.75  49.75    1992   0.714992     0.92949      6.34811     13.4776       67.0509       69.0682       82.4386       77.4438      43.8699      17.8237       5.19391      0.331961
 9.75  49.75    1993   0.304231     0.562827     4.2643      32.1826       58.8332       74.6076       75.2718       59.3757      28.7295      19.3085       5.72968      0.131833
 9.75  49.75    1994   0.548757     2.27054      5.70908     22.7004       61.642        75.9399       76.6548       63.8622      47.2585      19.3273       4.20881      0.553791
 9.75  49.75    1995   0.214954     1.27972      7.47839     19.6308       59.8321       78.4631       78.4581       68.1154      52.9236      17.5062       7.49339      0.394915
 9.75  49.75    1996   0.456677     2.51669      4.4526      18.2224       55.1736       70.8644       82.7181       56.5436      48.6957      16.4106       9.3867       0.903427
 9.75  49.75    1997   0.138021     0.463357     8.85307     39.0551       56.4704       71.0612       76.7792       65.3087      42.4169      18.5441       4.47583      0.330265
 9.75  49.75    1998   0.822402     1.45389      5.62954     41.0761       58.9976       76.6694       79.0436       56.8045      38.5844      23.9916       5.45821      0.386725
 9.75  49.75    1999   0.486164     2.35303     10.4282      48.8303       55.1651       82.4          73.2893       54.9171      40.9399      20.0446       4.91998      0.471579
 9.75  49.75    2000   0.473192     2.95504     18.8408      54.8372       78.5065       79.8343       88.6318       68.3376      47.9807      18.4159       3.16749      0.28971
 9.75  49.75    2001   0.302135     1.64975      3.43379     45.066        46.0492       80.905        73.6442       78.555       48.6917      19.5333       4.6711       0.4556
 9.75  49.75    2002   0.381082     1.24328     20.9452      28.9099       55.8762       60.0872       61.521        68.6615      39.361       29.0623       6.04015      0.328683
 9.75  49.75    2003   0.137219     0.387999    10.6511      37.6359       55.5501       75.3854       69.7594       67.9283      43.2288      20.6964       3.40682      0.828047
 9.75  49.75    2004   0.63924      1.631       16.3617      33.8092       48.6151       73.1882       66.0297       69.6348      45.8231      26.6224       3.68503      0.690943
 9.75  49.75    2005   0.378213     1.37744     12.9666      35.2252       60.8876       73.4574       80.8395       71.3329      56.3584      17.4211       4.06696      0.443583
 9.75  49.75    2006   0.208742     1.0669      13.1879      44.4064       62.6968       69.2095       82.0263       70.077       40.6073      16.4442       4.04495      0.157716
 9.75  49.75    2007   0.262686     0.8111      12.2725      33.2366       65.0631       78.2527       65.4548       66.4134      51.4541      27.9599       4.50713      0.474678
 9.75  49.75    2008   0.260987     1.13094     25.1784      57.5866       60.1415       68.9922       69.0471       45.2469      48.0537      16.9687       1.57966      0.53571
 9.75  49.75    2009   0.39124      2.44753      5.29539     15.7087       51.6528       80.7456       87.4604       63.5401      43.9918      22.005        9.58993      0.646001
 9.75  49.75    2010   0.614756     1.69058      9.55584     47.5667       77.0615       64.4273       88.448        73.8159      52.7108      20.6305       1.88495      0.253135
 9.75  49.75    2011   0.641878     1.97988     17.95        47.7611       57.5294       73.3639       66.7507       59.0347      46.7034      16.9781       0.881452     0.673519
 9.75  49.75    2012   0.433945     1.63634      8.35797     39.2269       63.9708       61.4259       50.7671       47.291       39.9139      19.3287       3.13706      0.384222
 9.75  49.75    2013   1.13459      1.08486     10.6045      33.3008       45.3337       77.9294       73.0656       74.8556      55.7981      21.9866       4.48862      0.397783
 9.75  49.75    2014   0.501749     1.36512      6.59959     29.4992       65.4534       75.3618       81.9072       78.3407      50.7354      25.8876       3.38568      0.456547
 9.75  49.75    2015   0.357101     2.98337     10.261       45.2795       57.0277       78.9238       90.0708       70.15        44.3664      20.9695       2.44998      0.108486
 9.75  49.75    2016   0.596675     2.49519     22.1855      32.1707       63.3425       80.5873       77.8525       74.9776      46.9791      31.2757       3.8151       0.239574
 9.75  49.75    2017   0.836249     2.92009     13.5518      30.9864       67.5599       81.3828       64.9652       49.7455      48.3352      18.637        8.43481      0.709682
 9.75  49.75    2018   0.664479     1.73126     12.2273      30.6655       60.4269       68.0074       80.4245       66.5202      61.2315      12.3674       4.74176      0.198892
 9.75  49.75    2019   0.280256     1.01706     16.3046      39.2947       61.7152       76.6637       78.5215       62.5605      63.0984      24.4546       2.44094      0.619276
 9.75  49.75    2020   0.442986     3.19583     27.5465      42.4453       80.0358       73.5221       66.8095       37.4278      23.7902      12.6613       2.69408      0.551472
 9.75  49.75    2021   0.397783     1.60469      9.19422     50.4642       85.2974       81.4506       69.2504       73.7346      42.382       27.108        3.04214      0.3345
 9.75  49.75    2022   0.479148     1.25211      7.91046     24.3145       78.9283       73.8973       81.0438       66.9044      40.8858      23.4376       4.72368      0.700641
 9.75  49.75    2023   0.452026     0.397783    18.9263      26.1226       59.1386       65.8829       81.9886       73.287       43.2273      21.5707       3.13254      0.226013
 9.75  49.75    2024   0.782006     2.64887     19.7762      38.7884       58.3114       80.8133       81.8529       74.2544      44.1585      20.9921       1.66346      0.189851
 9.75  49.75    2025   0.411344     0.786526    11.2555      31.8859       58.5329       74.2951       74.6748       61.7649      38.5533      15.179        2.7438       0.379702
 9.75  49.75    2026   0.944735     1.3154       8.36701     35.6287       64.0928       71.3976       77.2423       68.5498      42.7843      22.3165       7.59404      0.700641
 9.75  49.75    2027   0.578594     1.35608     13.2173      24.8208       67.1304       69.7251       74.0871       68.9069      44.3619      18.2121       3.72922      0.221493
 9.75  49.75    2028   0.931174     4.27165      8.02347     34.693        66.2942       46.2513       46.5          35.9316      35.1315      24.7168       5.88086      0.257655
 9.75  49.75    2029   0.795567     1.79002     12.1776      32.1933       74.0193       62.2169       87.5394       72.374       48.29        27.5194       6.0888       1.79002
 9.75  49.75    2030   0.230533     2.58107     20.2011      38.1782       64.9878       66.6829       73.1198       53.877       31.6192      21.8736       4.93613      0.275736
 9.75  49.75    2031   0.307378     0.583114     4.02756     24.8072       64.7121       63.6001       82.1874       63.6137      46.9836      21.3763       6.02551      1.05322
 9.75  49.75    2032   0.555993     3.58457      8.5207      41.3288       52.5164       82.9514       52.0282       58.7951      44.6828      21.0373       7.60308      1.08034
 9.75  49.75    2033   0.750364     2.03412     14.4513      26.2853       73.617        67.3293       74.2589       65.7653      41.9526      24.6942       4.89093      0.583114
 9.75  49.75    2034   0.668999     2.69408     34.7202      23.8534       69.4945       71.3026       77.6762       50.8349      53.3934      20.5491       2.95173      0.705161
 9.75  49.75    2035   1.0035       2.12452     12.4081      33.0838       70.6201       65.1822       63.4238       53.5832      27.3612      24.2422       4.60615      0.388743
 9.75  49.75    2036   0.3345       2.77544      7.57596     29.8157       60.3048       81.9569       75.954        59.1205      47.7792      27.5691       4.62875      0.619276
 9.75  49.75    2037   0.786526     4.26713     15.6718      28.4777       57.5249       77.405        57.7645       51.6711      27.5601      22.9042       3.89647      0.574074
 9.75  49.75    2038   0.705161     3.61169     12.3629      28.9387       65.9687       47.9962       74.4126       69.029       47.7159      27.7228       4.83216      0.696121
 9.75  49.75    2039   0.583114     1.21595     19.0665      39.7376       40.0767       54.32         81.7716       75.7642      57.2039      28.2969       4.29877      1.16623
 9.75  49.75    2040   1.7629       5.66389     15.1022      37.1611       62.1717       80.9805       78.734        72.5819      45.6773      21.8826       4.69203      0.85433
 9.75  49.75    2041   1.06226      1.28376     13.6512      49.1669       55.5767       73.7481       82.4632       54.4963      50.8937      16.7385       3.19131      0.664479
 9.75  49.75    2042   0.533391     2.59463     15.5181      23.8715       57.8639       83.1955       75.9404       70.828       43.2635      24.1337       8.18168      0.420385
 9.75  49.75    2043   1.79907      3.73826     14.9395      24.3597       66.3078       56.3767       66.7462       52.6204      27.4968      18.9625       6.67643      0.876931
 9.75  49.75    2044   1.0939       3.73374     13.71        29.5444       69.3499       55.2648       63.6001       51.748       45.3337      23.6997       4.38918      1.31992
 9.75  49.75    2045   0.592155     2.44546     19.4643      51.9198       45.7586       59.5093       86.5947       62.7458      29.5173      17.3352       3.84674      0.619276
