      Lon      Lat    Year   Abi_alb       BES   Bet_pen   Bet_pub   Car_bet   Cor_ave   Fag_syl   Fra_exc   Jun_oxy   Lar_dec       MRS   Pic_abi   Pin_syl   Pin_hal   Pop_tre   Que_coc   Que_ile   Que_pub   Que_rob   Til_cor   Ulm_gla     C3_gr
     9.75    49.75    1980  0.000016  0.000001  0.000021  0.000099  0.000073  0.000006  0.000757  0.000077  0.000000  0.000001  0.000000  0.000413  0.000528  0.000000  0.000023  0.000000  0.000000  0.000075  0.000602  0.000033  0.000082  0.000000
     9.75    49.75    1981  0.000017  0.000001  0.000022  0.000103  0.000076  0.000007  0.000769  0.000080  0.000000  0.000001  0.000000  0.000424  0.000533  0.000000  0.000024  0.000000  0.000000  0.000076  0.000614  0.000034  0.000085  0.000000
     9.75    49.75    1982  0.000017  0.000001  0.000022  0.000104  0.000076  0.000007  0.000770  0.000081  0.000000  0.000001  0.000000  0.000430  0.000535  0.000000  0.000024  0.000000  0.000000  0.000076  0.000617  0.000034  0.000086  0.000000
     9.75    49.75    1983  0.000017  0.000001  0.000023  0.000107  0.000078  0.000007  0.000775  0.000083  0.000000  0.000001  0.000000  0.000440  0.000541  0.000000  0.000024  0.000000  0.000000  0.000077  0.000624  0.000034  0.000088  0.000000
     9.75    49.75    1984  0.000017  0.000001  0.000024  0.000109  0.000079  0.000007  0.000786  0.000085  0.000000  0.000001  0.000000  0.000453  0.000547  0.000000  0.000025  0.000000  0.000000  0.000078  0.000635  0.000035  0.000091  0.000000
     9.75    49.75    1985  0.000017  0.000001  0.000025  0.000111  0.000081  0.000007  0.000794  0.000087  0.000000  0.000002  0.000000  0.000466  0.000555  0.000000  0.000025  0.000000  0.000000  0.000080  0.000644  0.000036  0.000093  0.000000
     9.75    49.75    1986  0.000018  0.000001  0.000026  0.000115  0.000083  0.000008  0.000804  0.000090  0.000000  0.000002  0.000000  0.000477  0.000561  0.000000  0.000026  0.000000  0.000000  0.000081  0.000655  0.000037  0.000096  0.000000
     9.75    49.75    1987  0.000018  0.000001  0.000026  0.000116  0.000084  0.000008  0.000805  0.000091  0.000000  0.000002  0.000000  0.000480  0.000564  0.000000  0.000026  0.000000  0.000000  0.000081  0.000658  0.000037  0.000097  0.000000
     9.75    49.75    1988  0.000018  0.000001  0.000027  0.000121  0.000087  0.000008  0.000817  0.000095  0.000000  0.000002  0.000000  0.000489  0.000570  0.000000  0.000027  0.000000  0.000000  0.000083  0.000673  0.000039  0.000101  0.000000
     9.75    49.75    1989  0.000017  0.000001  0.000022  0.000080  0.000067  0.000007  0.000795  0.000071  0.000000  0.000002  0.000000  0.000497  0.000567  0.000000  0.000024  0.000000  0.000000  0.000082  0.000653  0.000035  0.000080  0.000000
     9.75    49.75    1990  0.000017  0.000001  0.000019  0.000073  0.000062  0.000007  0.000800  0.000068  0.000000  0.000001  0.000000  0.000498  0.000550  0.000000  0.000018  0.000000  0.000000  0.000083  0.000643  0.000031  0.000076  0.000000
     9.75    49.75    1991  0.000009  0.000000  0.000010  0.000040  0.000033  0.000004  0.000425  0.000037  0.000000  0.000001  0.000000  0.000268  0.000292  0.000000  0.000010  0.000000  0.000000  0.000044  0.000343  0.000017  0.000041  0.000000
     9.75    49.75    1992  0.000009  0.000000  0.000010  0.000041  0.000034  0.000003  0.000432  0.000038  0.000000  0.000000  0.000000  0.000276  0.000295  0.000000  0.000010  0.000000  0.000000  0.000045  0.000349  0.000017  0.000042  0.000000
     9.75    49.75    1993  0.000009  0.000000  0.000010  0.000041  0.000034  0.000003  0.000435  0.000038  0.000000  0.000000  0.000000  0.000284  0.000300  0.000000  0.000010  0.000000  0.000000  0.000045  0.000353  0.000017  0.000042  0.000000
     9.75    49.75    1994  0.000009  0.000000  0.000011  0.000043  0.000035  0.000003  0.000440  0.000039  0.000000  0.000001  0.000000  0.000292  0.000304  0.000000  0.000010  0.000000  0.000000  0.000045  0.000359  0.000017  0.000044  0.000000
     9.75    49.75    1995  0.000009  0.000000  0.000011  0.000043  0.000036  0.000003  0.000441  0.000040  0.000000  0.000000  0.000000  0.000297  0.000308  0.000000  0.000010  0.000000  0.000000  0.000045  0.000363  0.000017  0.000044  0.000000
     9.75    49.75    1996  0.000008  0.000000  0.000011  0.000045  0.000037  0.000003  0.000414  0.000041  0.000000  0.000000  0.000000  0.000298  0.000279  0.000000  0.000010  0.000000  0.000000  0.000046  0.000351  0.000017  0.000046  0.000000
     9.75    49.75    1997  0.000008  0.000000  0.000011  0.000046  0.000038  0.000003  0.000416  0.000042  0.000000  0.000000  0.000000  0.000308  0.000285  0.000000  0.000010  0.000000  0.000000  0.000047  0.000356  0.000017  0.000047  0.000000
     9.75    49.75    1998  0.000008  0.000000  0.000012  0.000048  0.000039  0.000003  0.000424  0.000044  0.000000  0.000000  0.000000  0.000316  0.000289  0.000000  0.000010  0.000000  0.000000  0.000048  0.000365  0.000018  0.000049  0.000000
     9.75    49.75    1999  0.000009  0.000000  0.000012  0.000049  0.000040  0.000003  0.000427  0.000045  0.000000  0.000000  0.000000  0.000324  0.000292  0.000000  0.000010  0.000000  0.000000  0.000048  0.000370  0.000018  0.000050  0.000000
     9.75    49.75    2000  0.000009  0.000000  0.000011  0.000049  0.000040  0.000002  0.000427  0.000045  0.000000  0.000000  0.000000  0.000329  0.000292  0.000000  0.000010  0.000000  0.000000  0.000048  0.000371  0.000017  0.000049  0.000000
     9.75    49.75    2001  0.000009  0.000000  0.000011  0.000050  0.000040  0.000002  0.000433  0.000046  0.000000  0.000000  0.000000  0.000337  0.000295  0.000000  0.000009  0.000000  0.000000  0.000048  0.000377  0.000017  0.000051  0.000000
     9.75    49.75    2002  0.000009  0.000000  0.000011  0.000051  0.000041  0.000002  0.000438  0.000048  0.000000  0.000000  0.000000  0.000342  0.000294  0.000000  0.000009  0.000000  0.000000  0.000049  0.000382  0.000017  0.000052  0.000000
     9.75    49.75    2003  0.000009  0.000000  0.000011  0.000052  0.000042  0.000002  0.000416  0.000048  0.000000  0.000000  0.000000  0.000319  0.000274  0.000000  0.000009  0.000000  0.000000  0.000041  0.000360  0.000017  0.000053  0.000000
     9.75    49.75    2004  0.000009  0.000000  0.000011  0.000054  0.000043  0.000002  0.000424  0.000050  0.000000  0.000000  0.000000  0.000327  0.000276  0.000000  0.000009  0.000000  0.000000  0.000042  0.000368  0.000017  0.000055  0.000000
     9.75    49.75    2005  0.000009  0.000000  0.000011  0.000056  0.000044  0.000002  0.000430  0.000052  0.000000  0.000000  0.000000  0.000339  0.000281  0.000000  0.000009  0.000000  0.000000  0.000043  0.000375  0.000017  0.000056  0.000000
