      Lon      Lat    Year       Jan       Feb       Mar       Apr       May       Jun       Jul       Aug       Sep       Oct       Nov       Dec
     9.75    49.75    1980     0.000     0.000    23.667    13.331     9.438    21.522    15.532    19.364     7.772     3.847     3.602     3.615
     9.75    49.75    1981     9.331    16.258    22.264    15.984     6.845     1.573     2.786     5.461    11.761     8.786     8.409     5.746
     9.75    49.75    1982     5.191    16.756    27.417    41.329    12.995     3.986    15.422    14.596    12.887     5.841     3.224     3.938
     9.75    49.75    1983     0.599    16.604    17.745    10.307     5.641    11.301    14.262     6.791     2.474     1.088     5.457     5.792
     9.75    49.75    1984     9.408    14.044    23.240    29.066    18.411    22.855     5.660     3.440     2.316     1.112     3.528     3.019
     9.75    49.75    1985     0.000     0.000    27.396    17.251     9.999    16.030     8.597    10.769     7.555     5.046     5.528     2.691
     9.75    49.75    1986     0.000     0.000     0.000    19.682    14.830     3.660     6.418     2.133     7.608     9.521     4.870     7.594
     9.75    49.75    1987     0.480     0.000    21.531    19.971    22.184    26.139    16.027     7.513    11.193     5.007     3.920     4.541
     9.75    49.75    1988     8.872    12.606    22.284    10.130     4.862     4.139     6.496     1.640     1.641     0.331     1.056     3.063
     9.75    49.75    1989     2.361     0.000    21.398    37.650    35.344    14.380     9.642     5.735     7.292     3.779     4.825     5.782
     9.75    49.75    1990     7.940     3.656    14.523    38.877    21.716    10.362     9.007     5.113     1.986     1.438     2.255     4.998
     9.75    49.75    1991     5.327    16.563    25.603    16.558    11.106    21.134     7.770     3.088     1.209     1.583     2.231     6.679
     9.75    49.75    1992     9.742    12.883    27.625    33.213    11.472    14.047     9.128     6.366     2.600     0.946     2.810     1.895
     9.75    49.75    1993     0.000     0.000    10.889    26.373     6.777     7.724     4.647     4.530    13.166     9.704     8.314     1.648
     9.75    49.75    1994     0.063    17.395    31.719    22.651     8.134     4.690     2.061     4.338     3.588     1.123     4.586     7.291
     9.75    49.75    1995     1.698     0.000    10.135    35.969    20.762     5.929    13.158    22.700     4.178     2.898     6.598     7.211
     9.75    49.75    1996     2.465    18.486    24.282    22.689     5.360     6.443     8.247    12.990     6.817     5.549     5.272     4.685
     9.75    49.75    1997     1.201     0.000    21.850    22.493    19.882    27.899    11.644     6.079     5.841     3.436     4.584     3.064
     9.75    49.75    1998     9.081    13.371    26.289    12.395     4.655    11.596     3.131     1.790     9.713     4.229     3.149     4.199
     9.75    49.75    1999     6.799    16.517    22.998    17.304     2.850    16.765     1.777     1.022     0.731     0.778     3.964     5.339
     9.75    49.75    2000     8.575    17.379    18.758    10.706     4.127    12.374    12.848     5.991     6.626     3.433     8.831     2.332
     9.75    49.75    2001     0.000     0.000     0.000    27.934    11.055    10.136     7.010    11.580     2.494     1.394     3.768     7.079
     9.75    49.75    2002     9.485    11.047    24.775    16.569    17.882     1.771     0.530     3.235     8.423     4.306     2.421     2.337
     9.75    49.75    2003     1.677     0.000    23.460    16.108    11.479     9.809    16.819    16.765     6.850     2.728     5.216     8.548
     9.75    49.75    2004     9.516    14.110    25.558    13.088    15.625    11.672     2.713     5.951     8.112     5.512     6.043     7.542
     9.75    49.75    2005     2.405     4.904    28.004    11.814    12.139     8.070     5.781     4.918     3.709     1.597     8.945     8.245
     9.75    49.75    2006     2.106     2.877    31.303    13.431     2.734     2.284     5.290     7.488     1.617     0.514     4.242     0.748
     9.75    49.75    2007     0.000     0.000    18.557    19.697     5.128     3.669    16.058    19.809     7.016     1.990     2.367     4.971
     9.75    49.75    2008     1.738     0.000    24.805     3.701     1.686     3.502     3.144     4.891     3.536     1.314     5.461     7.470
     9.75    49.75    2009     2.454    15.909    24.161    27.767    16.418    16.006     8.794    14.717     8.997     3.697     3.241     4.033
     9.75    49.75    2010     8.879    16.585    26.635    16.348     5.763    26.491    20.471     6.468     8.733     3.764     6.340     3.912
     9.75    49.75    2011     9.847    14.602    22.564    10.716     7.536     5.725     1.608     1.667     1.482     1.035     5.478     7.881
     9.75    49.75    2012    10.239    13.385    28.382    14.950     3.519     1.343     0.506     0.730     1.630     2.632     4.852     8.256
     9.75    49.75    2013    10.763     4.651    33.939    25.322    22.126    20.927    24.897     6.857     2.556     1.111     3.027     5.809
     9.75    49.75    2014     2.825    13.701    23.651    20.310     6.462     4.129    15.047     7.997     2.979     1.077     2.821     8.352
     9.75    49.75    2015     3.077    17.625    27.790    17.557     1.627    14.309    16.156     9.127     5.044     5.707     8.645     1.576
     9.75    49.75    2016     2.098    17.067    20.108    14.843     7.760    17.657     8.511     6.103     5.307     1.935     2.322     2.828
     9.75    49.75    2017    10.278    17.655    24.565    18.118     5.595     8.311     2.985     6.847     3.584     2.951     4.727     6.297
     9.75    49.75    2018     9.627    16.848    25.074    22.302    15.157     2.912     6.219    15.742     5.769     6.180     8.549     2.239
     9.75    49.75    2019     0.000     0.000    24.556    16.017     8.456     5.381     3.294    18.769    13.077     0.878     3.735     5.927
     9.75    49.75    2020     5.966    18.624    17.136     9.592    10.082     4.772     1.873     0.296     0.031     1.410     9.440     7.449
     9.75    49.75    2021     4.553    11.995    24.970    18.811    16.832    21.353     2.398     4.335     3.124     2.723     6.370     3.327
     9.75    49.75    2022     0.000     5.866    32.243    29.490    19.392    30.019    15.254     5.098     0.555     0.866     1.705     4.441
     9.75    49.75    2023     3.410     0.000    24.488    19.433    20.497     3.777     3.517     4.717     2.381     1.628     5.443     3.553
     9.75    49.75    2024     6.183    13.231    21.308     9.099    14.910    11.821     6.732     6.484     3.986     3.696     7.349     1.238
     9.75    49.75    2025     0.000     0.000    23.616    27.351    24.209     7.445     4.322     3.345     8.574     5.366     7.770     4.021
     9.75    49.75    2026     4.323    13.887    29.492    17.197     4.292     3.992     3.638     3.648     2.597     1.836     1.836     1.219
     9.75    49.75    2027     0.000     6.370    29.364    32.724    14.165     9.322     4.002     4.984     1.740     0.514     3.390     2.362
     9.75    49.75    2028     8.759    18.003    25.419    25.292     4.056     0.123     0.097     0.077     0.852     1.538     3.114     0.948
     9.75    49.75    2029     4.470    16.589    32.561    25.651     7.693    20.245    12.182     6.239     2.487     0.815     1.427     4.377
     9.75    49.75    2030     0.604    11.947    21.027     9.243     8.138     2.801     5.167     2.625     1.145     0.521     2.740     1.289
     9.75    49.75    2031     0.000     0.000     0.000    28.736    12.151    51.809    19.582     2.688     0.935     0.511     1.918     4.876
     9.75    49.75    2032     2.556    15.797    31.588    22.645     2.314    14.255     1.132     1.061     2.814     0.594     2.154     5.982
     9.75    49.75    2033     9.252    14.246    25.584    27.287    11.757     3.804     7.256     4.942     1.649     0.586     3.224     4.808
     9.75    49.75    2034     8.627    15.069    21.993    15.170    16.209     3.623     5.635     9.076     9.455     3.822     6.866     6.175
     9.75    49.75    2035    10.362    15.691    30.364    22.523     7.076     2.190     2.715     1.833     0.161     1.238     2.741     1.436
     9.75    49.75    2036     0.000     0.000    28.651    31.684    21.623    17.246     5.256     1.953     2.166     1.100     1.225     4.956
     9.75    49.75    2037     8.779    15.271    16.339    22.086    11.162     9.499     1.856     1.514     0.815     0.871     2.571     6.766
     9.75    49.75    2038     9.081    15.610    19.114    20.269     5.991     0.565     1.865     9.905     7.106     2.620     2.355     7.138
     9.75    49.75    2039     9.288     4.183    30.308    12.830    16.120    38.218    18.360    12.793     7.027     1.270     3.332     7.288
     9.75    49.75    2040     9.958    13.689    17.797    13.789    16.892    34.416     9.010     9.137     2.252     1.597     4.433     7.511
     9.75    49.75    2041     9.573     7.432    29.614    12.235     5.953    22.003    13.127    29.140    18.691     5.173     5.905     6.595
